Frequency_Hz,Left_Mag_dBFS,Left_Phase_rad,Right_Mag_dBFS,Right_Phase_rad
0.0,-13.391223620602414,3.141592653589793,-13.391223620602414,3.141592653589793
1.0,-17.288709750667422,2.456567925487075,-17.288709750667422,2.456567925487075
2.0,-10.404477115000258,0.20931365334714164,-10.404477115000258,0.20931365334714164
3.0,-18.36306099222337,0.03965103309616027,-18.36306099222337,0.03965103309616027
4.0,-15.245905515161269,0.07529928825210383,-15.245905515161269,0.07529928825210383
5.0,-13.993280733562802,-2.676405889862955,-13.993280733562802,-2.676405889862955
6.0,-18.01057065651394,0.18561944558946566,-18.01057065651394,0.18561944558946566
7.0,-13.535525436408605,-2.312986126915714,-13.535525436408605,-2.312986126915714
8.0,-8.844552054496639,-2.574119914791857,-8.844552054496639,-2.574119914791857
9.0,-16.688613897836348,0.3869885716994312,-16.688613897836348,0.3869885716994312
10.0,-16.00152560045344,-0.14245928412577635,-16.00152560045344,-0.14245928412577635
11.0,-7.004447557519583,-3.1357225649959504,-7.004447557519583,-3.1357225649959504
12.0,-6.351292325602145,-1.0445304244554638,-6.351292325602145,-1.0445304244554638
13.0,-9.636652182492156,-1.3665609046309426,-9.636652182492156,-1.3665609046309426
14.0,-11.127365163365495,-2.765134593409614,-11.127365163365495,-2.765134593409614
15.0,-9.481129228135552,2.785826114652198,-9.481129228135552,2.785826114652198
16.0,-16.963452433976464,0.041026201378094394,-16.963452433976464,0.041026201378094394
17.0,-8.334027934719225,0.787083473528812,-8.334027934719225,0.787083473528812
18.0,-15.401957431372047,0.52708538265257,-15.401957431372047,0.52708538265257
19.0,-16.658699429233245,2.794702059287875,-16.658699429233245,2.794702059287875
20.0,-15.917601528759842,2.210069252839593,-15.917601528759842,2.210069252839593
21.0,-15.836117838100737,-0.4407868718256092,-15.836117838100737,-0.4407868718256092
22.0,-11.165338989499467,-2.482433818871626,-11.165338989499467,-2.482433818871626
23.0,-23.114703839303836,-3.0575782668657676,-23.114703839303836,-3.0575782668657676
24.0,-11.509729261914885,-2.3616022765660296,-11.509729261914885,-2.3616022765660296
25.0,-18.112102976257678,0.874459980285061,-18.112102976257678,0.874459980285061
26.0,-13.342049378873472,-3.0635993912727266,-13.342049378873472,-3.0635993912727266
27.0,-13.22180723683106,1.823550303476236,-13.22180723683106,1.823550303476236
28.0,-10.10619355060689,-1.769476373687623,-10.10619355060689,-1.769476373687623
29.0,-9.222801293079092,-0.482937338549029,-9.222801293079092,-0.482937338549029
30.0,-9.463971228857096,-1.5091012559976353,-9.463971228857096,-1.5091012559976353
31.0,-16.552604219970238,-2.1100105743211457,-16.552604219970238,-2.1100105743211457
32.0,-8.706552481990059,2.6632469407052866,-8.706552481990059,2.6632469407052866
33.0,-19.222163580223793,-0.08699184068046963,-19.222163580223793,-0.08699184068046963
34.0,-9.775605150725982,-0.2752409807659485,-9.775605150725982,-0.2752409807659485
35.0,-23.787150215644083,-2.8700594162874764,-23.787150215644083,-2.8700594162874764
36.0,-11.837269682825786,2.1614426727229343,-11.837269682825786,2.1614426727229343
37.0,-7.125450687631353,-2.062576235548408,-7.125450687631353,-2.062576235548408
38.0,-14.078371791847935,1.1857970279419445,-14.078371791847935,1.1857970279419445
39.0,-13.520407394376946,-1.1526534296635058,-13.520407394376946,-1.1526534296635058
40.0,-13.31667150567619,2.931690841824633,-13.31667150567619,2.931690841824633
41.0,-9.402417002993843,-1.4981440115027416,-9.402417002993843,-1.4981440115027416
42.0,-14.741696400719482,2.5401868342277085,-14.741696400719482,2.5401868342277085
43.0,-10.920999774930422,1.8747005990262564,-10.920999774930422,1.8747005990262564
44.0,-17.147805993417983,0.7761453041030234,-17.147805993417983,0.7761453041030234
45.0,-12.833049759842524,0.16865044979948857,-12.833049759842524,0.16865044979948857
46.0,-19.227245407807946,0.24884261361199925,-19.227245407807946,0.24884261361199925
47.0,-7.5985026672183285,0.09397932055490466,-7.5985026672183285,0.09397932055490466
48.0,-15.354726545951634,0.16375051605194954,-15.354726545951634,0.16375051605194954
49.0,-15.093229417791996,1.3522249635444297,-15.093229417791996,1.3522249635444297
50.0,-9.463733231211908,2.106455431648101,-9.463733231211908,2.106455431648101
51.0,-12.06998123054483,-1.5243989075768203,-12.06998123054483,-1.5243989075768203
52.0,-6.788309780307098,-0.5895061992416941,-6.788309780307098,-0.5895061992416941
53.0,-11.198578462274785,1.5183574971486504,-11.198578462274785,1.5183574971486504
54.0,-14.303308541091049,2.6012449336546997,-14.303308541091049,2.6012449336546997
55.0,-7.562040855415767,2.7047581120901802,-7.562040855415767,2.7047581120901802
56.0,-14.303493939571892,-2.665121812670121,-14.303493939571892,-2.665121812670121
57.0,-17.907929815738115,2.0718937560593456,-17.907929815738115,2.0718937560593456
58.0,-5.369472672361643,1.2998712474470464,-5.369472672361643,1.2998712474470464
59.0,-10.424531901967631,-0.2493796881089461,-10.424531901967631,-0.2493796881089461
60.0,-17.000598728818183,-2.3248296727688165,-17.000598728818183,-2.3248296727688165
61.0,-2.3574023309298746,-0.7953592883796293,-2.3574023309298746,-0.7953592883796293
62.0,-9.829036741465165,1.8221796985499226,-9.829036741465165,1.8221796985499226
63.0,-12.475329704644636,1.3550556675645336,-12.475329704644636,1.3550556675645336
64.0,-13.13594042269723,0.5810765939751321,-13.13594042269723,0.5810765939751321
65.0,-9.665595353209852,-1.8290154863905232,-9.665595353209852,-1.8290154863905232
66.0,-8.71977501752205,-2.9969726992063603,-8.71977501752205,-2.9969726992063603
67.0,-6.543509904986032,1.162823230451144,-6.543509904986032,1.162823230451144
68.0,-10.958909851504988,-1.0283636896592903,-10.958909851504988,-1.0283636896592903
69.0,-16.832869008378857,-0.30171419201225663,-16.832869008378857,-0.30171419201225663
70.0,-6.388921766103773,-0.3710073512135152,-6.388921766103773,-0.3710073512135152
71.0,-9.765031023427133,-2.7153457553060902,-9.765031023427133,-2.7153457553060902
72.0,-15.56917968450471,-1.2140009058981378,-15.56917968450471,-1.2140009058981378
73.0,-7.078994602395671,1.2180448261753496,-7.078994602395671,1.2180448261753496
74.0,-18.791618716475536,-0.15329946308655154,-18.791618716475536,-0.15329946308655154
75.0,-9.796624596503667,-2.909805604558862,-9.796624596503667,-2.909805604558862
76.0,-9.876159247920434,-1.167204733580236,-9.876159247920434,-1.167204733580236
77.0,-10.006742208737105,-2.099182810862378,-10.006742208737105,-2.099182810862378
78.0,-13.015850683496016,-2.0698548499878893,-13.015850683496016,-2.0698548499878893
79.0,-13.59520669371224,1.2164384352191766,-13.59520669371224,1.2164384352191766
80.0,-13.471713105099429,-2.137169636920021,-13.471713105099429,-2.137169636920021
81.0,-15.186186460523272,-0.7379669111750037,-15.186186460523272,-0.7379669111750037
82.0,-10.964394602769094,1.295300275555365,-10.964394602769094,1.295300275555365
83.0,-13.83376642683617,-2.3679341259263498,-13.83376642683617,-2.3679341259263498
84.0,-14.617990252441844,2.2259206208777678,-14.617990252441844,2.2259206208777678
85.0,-16.824523515583547,0.3263344352531443,-16.824523515583547,0.3263344352531443
86.0,-20.47016727341912,-1.9183102487079835,-20.47016727341912,-1.9183102487079835
87.0,-15.56589916066525,0.06826486325963964,-15.56589916066525,0.06826486325963964
88.0,-6.687593860954811,-0.4297794330807385,-6.687593860954811,-0.4297794330807385
89.0,-17.050504399323067,0.03053169852169203,-17.050504399323067,0.03053169852169203
90.0,-9.730087134319374,1.4896810669996874,-9.730087134319374,1.4896810669996874
91.0,-8.16689454248068,-0.6013728885349185,-8.16689454248068,-0.6013728885349185
92.0,-16.55879780814075,-1.7689297543007398,-16.55879780814075,-1.7689297543007398
93.0,-15.081720533819173,-1.6809760529320046,-15.081720533819173,-1.6809760529320046
94.0,-16.73486366891818,1.404911346927908,-16.73486366891818,1.404911346927908
95.0,-10.445548213837272,-0.29367335403977696,-10.445548213837272,-0.29367335403977696
96.0,-8.83843635040715,0.09310571278416616,-8.83843635040715,0.09310571278416616
97.0,-9.108685052062452,2.0713020478012076,-9.108685052062452,2.0713020478012076
98.0,-17.29517094956669,2.106092034591912,-17.29517094956669,2.106092034591912
99.0,-7.678023813070603,1.0247387939482784,-7.678023813070603,1.0247387939482784
100.0,-8.47422848444966,-2.659774650477287,-8.47422848444966,-2.659774650477287
101.0,-21.61315686666626,-1.3943671374160191,-21.61315686666626,-1.3943671374160191
102.0,-9.262749998986127,0.5225810428767296,-9.262749998986127,0.5225810428767296
103.0,-10.2424681591131,0.22530155308005023,-10.2424681591131,0.22530155308005023
104.0,-17.63348086911275,1.892731409681363,-17.63348086911275,1.892731409681363
105.0,-11.206919615423862,-1.9175711295070572,-11.206919615423862,-1.9175711295070572
106.0,-11.445641464674061,-3.073871296818705,-11.445641464674061,-3.073871296818705
107.0,-35.37711193674153,2.0342608913781293,-35.37711193674153,2.0342608913781293
108.0,-6.818698112245933,-0.2298195736663909,-6.818698112245933,-0.2298195736663909
109.0,-12.972758257203926,2.3961165190385394,-12.972758257203926,2.3961165190385394
110.0,-10.72034610102648,1.0074048844407066,-10.72034610102648,1.0074048844407066
111.0,-5.773583962131138,-2.1394095263930573,-5.773583962131138,-2.1394095263930573
112.0,-9.485247425757864,2.3650139425251706,-9.485247425757864,2.3650139425251706
113.0,-8.52566717879046,0.015531494042649802,-8.52566717879046,0.015531494042649802
114.0,-23.660658709998017,1.7638201394406428,-23.660658709998017,1.7638201394406428
115.0,-7.9417581194913955,0.01163828440834936,-7.9417581194913955,0.01163828440834936
116.0,-10.009845680781249,-0.9340732585398405,-10.009845680781249,-0.9340732585398405
117.0,-5.453246475475328,2.6079368980740725,-5.453246475475328,2.6079368980740725
118.0,-14.763316621605597,-1.6328727002392376,-14.763316621605597,-1.6328727002392376
119.0,-15.357235014861576,-0.6086239967506147,-15.357235014861576,-0.6086239967506147
120.0,-5.573801189239155,-2.120525027894601,-5.573801189239155,-2.120525027894601
121.0,-11.27424446419515,1.7694884567436884,-11.27424446419515,1.7694884567436884
122.0,-11.266838235758847,-2.619559317395911,-11.266838235758847,-2.619559317395911
123.0,-11.94864700524202,-0.6079648297753577,-11.94864700524202,-0.6079648297753577
124.0,-13.463568372103104,0.5730299022041857,-13.463568372103104,0.5730299022041857
125.0,-15.05282117291559,-2.175595278854819,-15.05282117291559,-2.175595278854819
126.0,-17.16492732437092,-2.6290061634493953,-17.16492732437092,-2.6290061634493953
127.0,-10.55668511734168,2.933871403063892,-10.55668511734168,2.933871403063892
128.0,-13.954144076607445,0.41342938614560587,-13.954144076607445,0.41342938614560587
129.0,-8.714918245784935,1.0263607134084187,-8.714918245784935,1.0263607134084187
130.0,-11.32750276564366,-1.2551795841361673,-11.32750276564366,-1.2551795841361673
