Frequency (Hz),Amplitude_dBFS,Phase_radians
0.0,-10.133920925355994,3.141592653589793
0.5,-15.142659035516521,-2.6718816672615002
1.0,-16.729478477581686,2.9714216219662317
1.5,-30.222450509571015,-0.5485182076502594
2.0,-19.309495647015826,-0.7158982830523463
2.5,-13.692189824799875,-0.4505299589276042
3.0,-13.072847230278896,-1.2860601714208157
3.5,-21.62090953936614,3.0985867699848284
4.0,-31.307098842297407,0.44842734370362136
4.5,-18.54487580083243,3.0004380717202923
5.0,-13.501363579520987,2.2405010893866955
5.5,-13.163276459444548,-1.5110500618724119
6.0,-9.8556287500378,2.6473561382437336
6.5,-16.66001273081224,0.7657967738100472
7.0,-20.448660105360347,-2.3068431496209203
7.5,-8.670025319650177,2.0364022238748047
8.0,-20.08190841868221,-0.16823615965228134
8.5,-15.524169247144684,0.1888493173048054
9.0,-17.822658302474984,-3.1372888780307995
9.5,-11.911271928624567,-0.6343448421662081
10.0,-10.539944303268614,-1.1804741639756502
10.5,-10.345233717582051,1.6850691229264985
11.0,-12.255436521461196,-0.12437682903689988
11.5,-15.3569544967326,2.917956865913608
12.0,-8.435197609967878,-0.5514924471840084
12.5,-8.20398750804752,-2.655715968553026
13.0,-16.454697655308003,2.1923885418877704
13.5,-13.062420756063407,1.5510457762197896
14.0,-22.377293247642193,-1.1137680491516846
14.5,-31.44365960656532,-2.0147590782745377
15.0,-31.211412411744753,1.9125689806693704
15.5,-15.173774377979228,0.8997812116379196
16.0,-7.334311150834594,1.671518263531633
16.5,-14.07125960985848,3.061516533250243
17.0,-24.2709943185527,1.7996308344562675
17.5,-18.88742242742736,-2.6513302493138875
18.0,-24.06222310729323,-1.3600658160189325
18.5,-6.594773993569722,-0.08908130271878786
19.0,-9.54556541445011,-2.360961618994548
19.5,-7.778183905722238,-0.08234978525838062
20.0,-7.90850046711064,1.0294035223535254
20.5,-6.177165774757673,-0.7080793596362464
21.0,-9.848194765206628,1.0006623310068838
21.5,-12.704214682353019,1.1445899668077033
22.0,-8.616711421111825,-1.1415135507841123
22.5,-6.685317102508254,-1.4176865366859508
23.0,-14.838607654304159,-0.35939401613584726
23.5,-14.237091329979624,-0.8984669982857741
24.0,-14.490305673054273,0.7959352711500302
24.5,-19.750624755250985,-0.09300520870182614
25.0,-23.29425482560009,2.315306701914286
25.5,-7.032564800358929,-2.872153992623833
26.0,-9.402689903089081,1.6300518068601555
26.5,-6.820804615002544,2.7773628512626094
27.0,-14.109220530740647,-0.5107241886874436
27.5,-12.281360873360805,-0.7675496677766579
28.0,-14.294593118017607,-0.9962614672432719
28.5,-9.386446133004641,1.057990632307658
29.0,-9.222669365474058,-0.9257685411618068
29.5,-23.53011743317447,1.0842992534679223
30.0,-7.592024807075404,-1.38826508010108
30.5,-32.32864971105865,-0.03379683503617972
31.0,-7.893875998454771,-0.7926362801634178
31.5,-15.973050461158255,-2.560834387802626
32.0,-14.513447387348808,-2.1962820387687296
32.5,-10.718343666167927,1.0699121716307505
33.0,-11.573839631751376,2.2071835960528023
33.5,-25.267649407133966,-1.6144213401049647
34.0,-13.857344291624338,0.9550241726424835
34.5,-11.676554250008026,-1.9725282256352223
35.0,-19.796189962722835,-3.004967342972207
35.5,-12.367500774391054,2.114124193073749
36.0,-5.225639989074202,-0.8187862720249195
36.5,-10.786875462814598,-2.8350666767836255
37.0,-16.65251624386854,-2.4418118457718148
37.5,-12.403453125134272,2.2522386519668354
38.0,-8.461435729453129,-0.32437577143986973
38.5,-18.996379441697442,2.999676494769858
39.0,-13.487124253965934,1.7884244385730301
39.5,-8.127783266812239,1.4611173276759437
40.0,-17.134992390360896,2.3944013731251332
40.5,-13.551994375019694,0.7808612420350501
41.0,-13.739626562307413,2.6204841380921633
41.5,-12.06953147026731,-1.843918419982867
42.0,-3.6534480658744966,-1.9128775428793365
42.5,-18.249677746187608,1.785226016138485
43.0,-15.79075706387577,2.8911132926491803
43.5,-11.228143721361732,-2.132376464748125
44.0,-10.241201929633219,-2.32150089012979
44.5,-11.629449164422113,1.1958553712070914
45.0,-10.542836952831284,-1.9684146566264906
45.5,-24.90155649341435,-1.0181125318818662
46.0,-23.281024286134084,1.172173663339194
46.5,-15.706217559099002,-0.36561335556197405
47.0,-5.943984754715952,-1.25937905572525
47.5,-7.96144142574639,-2.2727130668897964
48.0,-12.723658882564706,0.21968640769937609
48.5,-16.270815099092967,3.124209589347949
49.0,-18.632467475159764,-1.0625945338079714
49.5,-13.369859291296603,1.8530282511434755
50.0,-10.842922713106223,0.930896045090071
50.5,-7.935873247263939,1.6978046012713832
51.0,-10.216399513551957,0.2984506161718733
51.5,-14.326301804983805,-1.5321695134708262
52.0,-16.79311645386724,2.659128957520596
52.5,-12.87045686484359,1.2659630847789265
53.0,-17.52366600668575,-1.6538073411696985
