Frequency (Hz),Amplitude_dBFS,Phase_radians
0.0,-352.52214721227887,0.0
0.5,-340.4771053798012,1.2571292642507599
1.0,-340.4523021247718,1.4930017115854897
1.5,-338.0082058522137,-2.0785296381501155
2.0,-339.29017834857035,2.3041312914850005
2.5,-340.3835782265205,2.179658277095372
3.0,-343.2782442942531,2.204220121014987
3.5,-345.1769711734493,2.5680168894115774
4.0,-347.91963972953397,2.528958184548314
4.5,-333.70367598588996,-1.6878021462725965
5.0,-347.47528950368826,0.16564414097746263
5.5,-339.8088424330102,2.105015952480016
6.0,-340.97248215423036,-1.0655012644690371
6.5,-342.8282458810081,1.9252885210454733
7.0,-338.8318588987854,1.6343502556833553
7.5,-346.6424418919268,-2.4300644146253876
8.0,-353.04992122613476,3.0775209101114824
8.5,-339.2384110168457,-1.528765690981298
9.0,-338.4745712440249,-0.14340982732143254
9.5,-333.61988838473496,-0.5432208482180952
10.0,-339.5964585523284,-2.934814149333003
10.5,-332.128939722353,0.6797036896509496
11.0,-337.2558970447412,1.9194781500223523
11.5,-339.0193247853562,-0.3433984582545055
12.0,-340.16157056790905,0.026599144591581806
12.5,-345.53784337281144,2.5166724341404247
13.0,-341.769349842414,-0.48603030048418844
13.5,-336.13139923712697,-1.064264195231544
14.0,-337.3070625740048,1.1677675137981016
14.5,-338.61334572633405,-1.201224934512363
15.0,-334.47232021021523,1.5080086280851273
15.5,-333.18626713586326,1.642178222145461
16.0,-333.44210071449317,1.497809754102665
16.5,-339.995229218961,1.9151191379599042
17.0,-344.03358743351805,-1.7395702799272719
17.5,-338.8727989660126,-2.0487400001717884
18.0,-342.31558467937737,1.7087761077257457
18.5,-332.33273834863996,-0.26748038591517376
19.0,-339.03502312881335,-1.588633758499283
19.5,-335.4996227695982,0.8646558596688307
20.0,-331.47936871668037,1.0360177790742557
20.5,-330.0531971298252,-0.8293256797565967
21.0,-339.08527201085303,1.2908626592840462
21.5,-330.8177493786516,1.3962934974888517
22.0,-331.64126801384776,-1.6021627724702059
22.5,-326.6382109764402,-1.2658327644049898
23.0,-337.1495275221932,2.241673014122873
23.5,-335.97928488026,-1.4168825099099178
24.0,-330.6198948030971,0.37032894584007486
24.5,-334.41485985198887,-1.1002533493827147
25.0,-335.6528714814268,2.1691513508247318
25.5,-326.2745821516456,-2.9895716294041654
26.0,-325.81568953205107,1.879119633811651
26.5,-322.2201372883401,2.8055651112658357
27.0,-328.1236587991946,-0.818887193665027
27.5,-327.53037544660947,-0.6362371018397118
28.0,-324.8586174815761,-1.103124574516443
28.5,-322.50137438874015,0.9956751634526425
