Frequency (Hz),Window1 Gain,Window2 Gain
0.0,1.3653460790930075e-18,1.3653460790930075e-18
0.5,1.4823624226223141e-18,1.4823624226223141e-18
1.0,1.6092751959212314e-18,1.6092751959212314e-18
1.5,1.7469099086083834e-18,1.7469099086083834e-18
2.0,1.8961599502782102e-18,1.8961599502782102e-18
2.5,2.057992089452821e-18,2.057992089452821e-18
3.0,2.233452411119675e-18,2.233452411119675e-18
3.5,2.4236727272708507e-18,2.4236727272708507e-18
4.0,2.6298774975141806e-18,2.6298774975141806e-18
4.5,2.8533912996826e-18,2.8533912996826e-18
5.0,3.0956468934403412e-18,3.0956468934403412e-18
5.5,3.3581939231883465e-18,3.3581939231883465e-18
6.0,3.642708310125591e-18,3.642708310125591e-18
6.5,3.95100238714327e-18,3.95100238714327e-18
7.0,4.285035834339283e-18,4.285035834339283e-18
7.5,4.646927477356946e-18,4.646927477356946e-18
8.0,5.03896801550222e-18,5.03896801550222e-18
8.5,5.463633751698576e-18,5.463633751698576e-18
9.0,5.923601401827644e-18,5.923601401827644e-18
9.5,6.421764066899735e-18,6.421764066899735e-18
10.0,6.961248457839028e-18,6.961248457839028e-18
10.5,7.545433469477249e-18,7.545433469477249e-18
11.0,8.177970207669353e-18,8.177970207669353e-18
11.5,8.862803581305956e-18,8.862803581305956e-18
12.0,9.604195579443817e-18,9.604195579443817e-18
12.5,1.0406750362848895e-17,1.0406750362848895e-17
13.0,1.127544130898953e-17,1.127544130898953e-17
13.5,1.2215640159984335e-17,1.2215640159984335e-17
14.0,1.323314843424541e-17,1.323314843424541e-17
14.5,1.433423127462665e-17,1.433423127462665e-17
15.0,1.552565391884101e-17,1.552565391884101e-17
15.5,1.6814720991819778e-17,1.6814720991819778e-17
16.0,1.8209318834618688e-17,1.8209318834618688e-17
16.5,1.971796110049937e-17,1.971796110049937e-17
17.0,2.1349837866015285e-17,2.1349837866015285e-17
17.5,2.311486852338922e-17,2.311486852338922e-17
18.0,2.502375874027686e-17,2.502375874027686e-17
18.5,2.7088061794256297e-17,2.7088061794256297e-17
19.0,2.932024461219341e-17,2.932024461219341e-17
19.5,3.1733758869077686e-17,3.1733758869077686e-17
20.0,3.434311752716837e-17,3.434311752716837e-17
20.5,3.716397722442561e-17,3.716397722442561e-17
21.0,4.0213226951370576e-17,4.0213226951370576e-17
21.5,4.3509083487893916e-17,4.3509083487893916e-17
22.0,4.707119410620967e-17,4.707119410620967e-17
22.5,5.0920747083368294e-17,5.0920747083368294e-17
23.0,5.508059060661531e-17,5.508059060661531e-17
23.5,5.95753606976313e-17,5.95753606976313e-17
24.0,6.443161882751311e-17,6.443161882751311e-17
24.5,6.967799994345654e-17,6.967799994345654e-17
25.0,7.534537168074251e-17,7.534537168074251e-17
25.5,8.146700558999264e-17,8.146700558999264e-17
26.0,8.807876127010707e-17,8.807876127010707e-17
26.5,9.521928436200156e-17,9.521928436200156e-17
27.0,1.0293021942761881e-16,1.0293021942761881e-16
27.5,1.1125643881294098e-16,1.1125643881294098e-16
28.0,1.202462886733014e-16,1.202462886733014e-16
28.5,1.2995185342444414e-16,1.2995185342444414e-16
29.0,1.4042923997405087e-16,1.4042923997405087e-16
29.5,1.5173888318608195e-16,1.5173888318608195e-16
30.0,1.6394587413487856e-16,1.6394587413487856e-16
30.5,1.7712031281790367e-16,1.7712031281790367e-16
31.0,1.9133768711583735e-16,1.9133768711583735e-16
31.5,2.0667927991700463e-16,2.0667927991700463e-16
32.0,2.2323260646032896e-16,2.2323260646032896e-16
32.5,2.410918840979773e-16,2.410918840979773e-16
33.0,2.6035853683592247e-16,2.6035853683592247e-16
33.5,2.811417371788935e-16,2.811417371788935e-16
34.0,3.0355898798605165e-16,3.0355898798605165e-16
34.5,3.2773674723610854e-16,3.2773674723610854e-16
35.0,3.5381109880656263e-16,3.5381109880656263e-16
35.5,3.81928472591703e-16,3.81928472591703e-16
36.0,4.1224641751957864e-16,4.1224641751957864e-16
36.5,4.449344312797921e-16,4.449344312797921e-16
37.0,4.801748508431284e-16,4.801748508431284e-16
37.5,5.181638081417704e-16,5.181638081417704e-16
38.0,5.591122555864892e-16,5.591122555864892e-16
38.5,6.032470664259214e-16,6.032470664259214e-16
39.0,6.508122153044737e-16,6.508122153044737e-16
39.5,7.020700447509805e-16,7.020700447509805e-16
40.0,7.573026237314322e-16,7.573026237314322e-16
40.5,8.168132048280044e-16,8.168132048280044e-16
41.0,8.809277870645657e-16,8.809277870645657e-16
41.5,9.499967918883755e-16,9.499967918883755e-16
42.0,1.0243968603402923e-15,1.0243968603402923e-15
42.5,1.1045327800041815e-15,1.1045327800041815e-15
43.0,1.190839550922556e-15,1.190839550922556e-15
43.5,1.2837846003021074e-15,1.2837846003021074e-15
44.0,1.3838701565127314e-15,1.3838701565127314e-15
44.5,1.491635793609582e-15,1.491635793609582e-15
45.0,1.6076611583826048e-15,1.6076611583826048e-15
45.5,1.7325688927651567e-15,1.7325688927651567e-15
46.0,1.867027765316348e-15,1.867027765316348e-15
46.5,2.0117560264339516e-15,2.0117560264339516e-15
47.0,2.1675250029604207e-15,2.1675250029604207e-15
47.5,2.3351629489175366e-15,2.3351629489175366e-15
48.0,2.515559170249972e-15,2.515559170249972e-15
48.5,2.7096684426794556e-15,2.7096684426794556e-15
49.0,2.9185157430742847e-15,2.9185157430742847e-15
49.5,3.1432013161283445e-15,3.1432013161283445e-15
50.0,3.3849060996260645e-15,3.3849060996260645e-15
50.5,3.644897533150613e-15,3.644897533150613e-15
51.0,3.924535776777544e-15,3.924535776777544e-15
51.5,4.225280368093895e-15,4.225280368093895e-15
52.0,4.548697347797832e-15,4.548697347797832e-15
52.5,4.8964668861773846e-15,4.8964668861773846e-15
53.0,5.2703914449422354e-15,5.2703914449422354e-15
53.5,5.672404511205126e-15,5.672404511205126e-15
54.0,6.104579942879268e-15,6.104579942879268e-15
54.5,6.569141967396401e-15,6.569141967396401e-15
55.0,7.068475878454426e-15,7.068475878454426e-15
55.5,7.605139478497589e-15,7.605139478497589e-15
56.0,8.181875317816485e-15,8.181875317816485e-15
56.5,8.801623784551095e-15,8.801623784551095e-15
57.0,9.467537103493614e-15,9.467537103493614e-15
57.5,1.0182994305439546e-14,1.0182994305439546e-14
58.0,1.0951617232934044e-14,1.0951617232934044e-14
58.5,1.1777287652626396e-14,1.1777287652626396e-14
59.0,1.2664165549094176e-14,1.2664165549094176e-14
59.5,1.361670867994459e-14,1.361670867994459e-14
60.0,1.463969347726977e-14,1.463969347726977e-14
60.5,1.573823738613632e-14,1.573823738613632e-14
61.0,1.6917822736757188e-14,1.6917822736757188e-14
61.5,1.8184322253342146e-14,1.8184322253342146e-14
62.0,1.954402630937825e-14,1.954402630937825e-14
62.5,2.100367204627948e-14,2.100367204627948e-14
63.0,2.2570474479992388e-14,2.2570474479992388e-14
63.5,2.4252159728274526e-14,2.4252159728274526e-14
64.0,2.6057000500018625e-14,2.6057000500018625e-14
64.5,2.7993853997192876e-14,2.7993853997192876e-14
65.0,3.0072202389752854e-14,3.0072202389752854e-14
65.5,3.230219603428581e-14,3.230219603428581e-14
66.0,3.4694699618208665e-14,3.4694699618208665e-14
66.5,3.7261341423101225e-14,3.7261341423101225e-14
67.0,4.001456591325792e-14,4.001456591325792e-14
67.5,4.296768986882575e-14,4.296768986882575e-14
68.0,4.6134962297023105e-14,4.6134962297023105e-14
68.5,4.953162836993441e-14,4.953162836993441e-14
69.0,5.317399765332857e-14,5.317399765332857e-14
69.5,5.707951690788514e-14,5.707951690788514e-14
70.0,6.126684776222016e-14,6.126684776222016e-14
70.5,6.575594957621365e-14,6.575594957621365e-14
71.0,7.056816783346189e-14,7.056816783346189e-14
71.5,7.572632842323756e-14,7.572632842323756e-14
72.0,8.125483819525055e-14,8.125483819525055e-14
72.5,8.717979219483186e-14,8.717979219483186e-14
73.0,9.352908801197421e-14,9.352908801197421e-14
