run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_165640,stim_3,stim,0.0,-55.83822884308226,-55.83823347401385,-55.83823115854774,-187.3217498971822,3.141592653589793,3.141592653589793,0.0,0,1.8310859867262508
20260225_165640,stim_3,stim,1.3333333333333333,-59.64765754378292,-59.64765680618835,-59.64765717498636,-187.37343811927107,1.5266097817775313,1.5266089644246603,-8.173528709409794e-07,0,1.8310859867262508
20260225_165640,stim_3,stim,2.6666666666666665,-51.19081791920878,-51.190814990891425,-51.19081645505001,-185.73803343562616,-0.5679577016223705,-0.5679575381271706,1.6349519982306046e-07,0,1.8310859867262508
20260225_165640,stim_3,stim,4.0,-54.3564007903563,-54.35640435213869,-54.356402571247315,-188.1145490921766,2.931799159358006,2.931799173811277,1.4453271024450487e-08,0,1.8310859867262508
20260225_165640,stim_3,stim,5.333333333333333,-55.70862697965373,-55.70862815515572,-55.708627567405024,-186.73775804353176,1.560909729564885,1.5609091843202088,-5.452446762976848e-07,0,1.8310859867262508
20260225_165640,stim_3,stim,6.666666666666666,-50.80859909962109,-50.80859877318416,-50.8085989364027,-188.043550563913,-1.8120165931698513,-1.8120163207821653,2.7238768596227203e-07,0,1.8310859867262508
20260225_165640,stim_3,stim,8.0,-54.550668415688016,-54.550666354625754,-54.55066738515698,-187.53080974721053,0.6708742013488433,0.6708738204449453,-3.809038980895352e-07,0,1.8310859867262508
20260225_165640,stim_3,stim,9.333333333333332,-55.8618181703625,-55.86181559222763,-55.86181688129527,-186.3266362964643,-1.5032204196110124,-1.5032198987476784,5.208633340192393e-07,0,1.8310859867262508
20260225_165640,stim_3,stim,10.666666666666666,-46.34467980755076,-46.344680843409606,-46.34468032548018,-188.71289919133048,1.8239701185680677,1.8239700238882577,-9.467980999211532e-08,0,1.8310859867262508
20260225_165640,stim_3,stim,12.0,-51.59575258519763,-51.5957510390555,-51.5957518121266,-187.69501586957387,-1.5283543846603769,-1.528354126748003,2.5791237390215827e-07,0,1.8310859867262508
