run_id,stimId,stimType,centerFreqHz,wavPath,fftCsvPath
20260225_165640,sham_1,sham,250.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_sham_1.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_sham_1_FFT.csv
20260225_165640,sham_2,sham,630.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_sham_2.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_sham_2_FFT.csv
20260225_165640,sham_3,sham,315.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_sham_3.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_sham_3_FFT.csv
20260225_165640,stim_1,stim,500.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_stim_1.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_stim_1_FFT.csv
20260225_165640,stim_2,stim,250.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_stim_2.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_stim_2_FFT.csv
20260225_165640,stim_3,stim,630.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_stim_3.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_stim_3_FFT.csv
20260225_165640,stim_4,stim,250.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_stim_4.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_stim_4_FFT.csv
20260225_165640,stim_5,stim,500.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_stim_5.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_stim_5_FFT.csv
20260225_165640,melody_1,melody,,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_melody_1.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_melody_1_FFT.csv
20260225_165640,melody_2,melody,,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\WAV\20260225_165640_melody_2.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASEA_FileAcquisition\FFT_CSV\20260225_165640_melody_2_FFT.csv
