run_id,participant,trialN,stimId,stimType,stimFile,targetEar,heardEar,correct,rt,confidence,conf_rt
20260225_165640,Test-1,0,stim_4,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_4_COMP.wav,R,N,0,8.36804519999987,4,15.557888499999535
20260225_165640,Test-1,1,sham_2,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_sham_2_COMP.wav,L,N,1,4.8816194999999425,5,3.3347929000001386
20260225_165640,Test-1,2,stim_1,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_1_COMP.wav,R,N,0,3.8290741999999227,5,2.301126100000147
20260225_165640,Test-1,3,stim_2,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_2_COMP.wav,L,R,0,6.350154400000065,4,3.114590600000156
20260225_165640,Test-1,4,sham_1,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_sham_1_COMP.wav,R,N,1,3.1942496000001483,4,3.2321894999995493
20260225_165640,Test-1,5,sham_3,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_sham_3_COMP.wav,L,N,1,2.1095493000002534,4,2.6679007000002457
20260225_165640,Test-1,6,stim_3,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_3_COMP.wav,R,N,0,6.867040000000088,2,2.912044099999548
20260225_165640,Test-1,7,stim_5,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_5_COMP.wav,L,L,1,2.8506704999999783,5,2.9986310999993293
20260225_165640,Test-1,mel_0,melody_1,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_melody_1_COMP.wav,,,,3.068288599999505,5,2.6175167999999758
20260225_165640,Test-1,mel_1,melody_2,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_melody_2_COMP.wav,,,,1.9293791000000056,5,1.5716945999993186
