thisRow.t,notes,hp_volume,cal_refTone440_onExit,ht_skipped,ht_skip_reason,ht_ear,ht_freq,ht_threshold_amp,phase,trialN,stimId,stimType,stimFile,targetEar,heardEar,correct,resp,rt,confidence,conf_rt,melody_count,participant,run_id,
,,0.34,False,,,,,,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,False,,,,,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,L,250,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,L,500,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,L,1000,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,L,2000,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,L,4000,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,L,8000,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,R,250,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,R,500,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,R,1000,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,R,2000,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,R,4000,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,R,8000,0.02,,,,,,,,,,,,,,Test-1,20260225_165640,
,,,,,,,,,E_main,0,stim_4,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_4_COMP.wav,R,N,0,n,8.36804519999987,4,15.557888499999535,,Test-1,20260225_165640,
,,,,,,,,,E_main,1,sham_2,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_sham_2_COMP.wav,L,N,1,n,4.8816194999999425,5,3.3347929000001386,,Test-1,20260225_165640,
,,,,,,,,,E_main,2,stim_1,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_1_COMP.wav,R,N,0,n,3.8290741999999227,5,2.301126100000147,,Test-1,20260225_165640,
,,,,,,,,,E_main,3,stim_2,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_2_COMP.wav,L,R,0,r,6.350154400000065,4,3.114590600000156,,Test-1,20260225_165640,
,,,,,,,,,E_main,4,sham_1,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_sham_1_COMP.wav,R,N,1,n,3.1942496000001483,4,3.2321894999995493,,Test-1,20260225_165640,
,,,,,,,,,E_main,5,sham_3,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_sham_3_COMP.wav,L,N,1,n,2.1095493000002534,4,2.6679007000002457,,Test-1,20260225_165640,
,,,,,,,,,E_main,6,stim_3,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_3_COMP.wav,R,N,0,n,6.867040000000088,2,2.912044099999548,,Test-1,20260225_165640,
,,,,,,,,,E_main,7,stim_5,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_stim_5_COMP.wav,L,L,1,l,2.8506704999999783,5,2.9986310999993293,,Test-1,20260225_165640,
,,,,,,,,,E_melody,mel_0,melody_1,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_melody_1_COMP.wav,,,,,3.068288599999505,5,2.6175167999999758,6,Test-1,20260225_165640,
,,,,,,,,,E_melody,mel_1,melody_2,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_165640\PHASED_Preparation\WAV_COMP\20260225_165640_melody_2_COMP.wav,,,,,1.9293791000000056,5,1.5716945999993186,6,Test-1,20260225_165640,
