run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_172553,melody_2,melody,0.0,-75.14635992270742,-75.12412223409078,-75.13523396176106,-132.99033186422548,0.0,0.0,0.0,0,0.0
20260225_172553,melody_2,melody,0.4166666666666667,-59.098034220185056,-59.089085283980296,-59.093558601940266,-124.84616630154754,2.873299542407658,2.8733460773771795,4.6534969521339065e-05,0,0.0
20260225_172553,melody_2,melody,0.8333333333333334,-52.97908836811641,-52.971558889793684,-52.97532290424647,-119.77686197420341,-0.38158697078609066,-0.3812971940136005,0.00028977677249014677,0,0.0
20260225_172553,melody_2,melody,1.25,-55.882545763847645,-55.88055680073087,-55.88155280715817,-120.11431840861067,2.0654770953526196,2.0666841129698668,0.001207017617247175,0,0.0
20260225_172553,melody_2,melody,1.6666666666666667,-56.0373842047969,-56.04481499853254,-56.0410991215187,-121.96916400553141,-1.866006013244949,-1.865467819568608,0.0005381936763408923,0,0.0
20260225_172553,melody_2,melody,2.0833333333333335,-62.75512697118539,-62.76523003248792,-62.76017761754554,-126.01292003181945,1.4458661307342773,1.4465999387586084,0.0007338080243310952,0,0.0
20260225_172553,melody_2,melody,2.5,-70.0232254740387,-70.03525979417701,-70.02924151565985,-131.5641627014006,-1.5192747772437787,-1.518331650427987,0.0009431268157917838,0,0.0
20260225_172553,melody_2,melody,2.916666666666667,-71.20393249445596,-71.22894173833002,-71.21643526673215,-125.51185511209049,1.2638305886768924,1.266397055430731,0.0025664667538385366,0,0.0
20260225_172553,melody_2,melody,3.3333333333333335,-77.50134742949153,-77.63204580206963,-77.56645491012105,-119.96586528164565,-2.4514889640650592,-2.4495402840218317,0.0019486800432275686,0,0.0
20260225_172553,melody_2,melody,3.75,-67.92742633951417,-67.90662004144822,-67.9170261362014,-122.41806675753585,-3.0494237460613096,-3.046516664603781,0.002907081457528715,0,0.0
20260225_172553,melody_2,melody,4.166666666666667,-62.286537585259644,-62.28324578579,-62.284892759137435,-127.2466820247366,0.48183124544398737,0.4828954171446765,0.0010641717006891205,0,0.0
20260225_172553,melody_2,melody,4.583333333333334,-65.39796538096473,-65.3878450732171,-65.39290375432266,-130.08243216702027,-1.5375202640580248,-1.537487255363943,3.300869408184859e-05,0,0.0
