run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_172553,stim_3,stim,0.0,-64.06987367971234,-64.06987516293816,-64.06987442132524,-205.44261482424375,3.141592653589793,3.141592653589793,0.0,0,2.6939440319746595
20260225_172553,stim_3,stim,1.3333333333333333,-64.38986565402811,-64.38986745908353,-64.38986655655577,-203.86538569946316,0.7349846696372854,0.7349846255068109,-4.4130474496917316e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,2.6666666666666665,-60.1006520036608,-60.10065171603978,-60.10065185985029,-214.13637708870874,-1.2613784039928762,-1.2613783820185065,2.1974369657229428e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,4.0,-58.99576483194218,-58.995764623525126,-58.99576472773366,-209.45745104635245,-2.82385745183508,-2.8238573968729264,5.496215349509726e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,5.333333333333333,-49.522714016127345,-49.52271434053637,-49.52271417833185,-203.6484687766919,0.9710720103379483,0.971071998007744,-1.2330204302024583e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,6.666666666666666,-48.20923969074809,-48.20923946842967,-48.20923957958888,-203.4952050742438,-2.132980457577155,-2.132980434573187,2.30039680637617e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,8.0,-53.80142205407469,-53.80142217079333,-53.801422112434025,-201.1908663698529,0.6718670096530877,0.6718669252970338,-8.435605380885391e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,9.333333333333332,-53.76736440345774,-53.767364691301374,-53.76736454737957,-198.85156969063934,2.6203656496595795,2.6203657559987152,1.0633913571922449e-07,0,2.6939440319746595
20260225_172553,stim_3,stim,10.666666666666666,-52.45453810900733,-52.454537187818474,-52.454537648412895,-197.42779057867793,-1.1271049304248355,-1.1271049688881178,-3.846328233692021e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,12.0,-50.321810442858,-50.32181080190895,-50.321810622383474,-203.9835722445791,1.3554530361103603,1.3554530325553245,-3.555035821278807e-09,0,2.6939440319746595
20260225_172553,stim_3,stim,13.333333333333332,-47.44046035105775,-47.44045998840886,-47.4404601697333,-199.66068461894872,-2.052285829206293,-2.052285803596668,2.560962508724174e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,14.666666666666666,-50.502079238140425,-50.50208009283682,-50.502079665488615,-195.2564587550935,1.1529797171385632,1.1529796562908505,-6.084771264625033e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,16.0,-51.479372621917406,-51.47937172495354,-51.47937217343546,-197.15388384137992,-1.1884774644647615,-1.1884774773287452,-1.2863983656075106e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,17.333333333333332,-51.46639856966367,-51.46639945299809,-51.466399011330864,-197.09458910815928,1.671477132800171,1.6714771573608473,2.456067638156867e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,18.666666666666664,-54.510952228085415,-54.510952025618366,-54.51095212685192,-196.61462444701274,-2.7540174142482727,-2.7540172590078047,1.552404680360553e-07,0,2.6939440319746595
20260225_172553,stim_3,stim,20.0,-56.422138967329104,-56.422140280434036,-56.422139623881556,-196.5017370697496,0.8281470258114078,0.8281468976742349,-1.281371728723002e-07,0,2.6939440319746595
20260225_172553,stim_3,stim,21.333333333333332,-52.58840472038274,-52.588403437006335,-52.58840407869452,-194.19580082329472,-1.7127500906893884,-1.7127500145654622,7.612392627365237e-08,0,2.6939440319746595
20260225_172553,stim_3,stim,22.666666666666664,-55.6478806154804,-55.64788198677367,-55.647881301127,-197.7020459111588,1.5187965097008735,1.518796508890041,-8.108325122435645e-10,0,2.6939440319746595
20260225_172553,stim_3,stim,24.0,-58.83473410730613,-58.83473309302055,-58.834733600163396,-196.68361083164714,-0.35607433046406106,-0.35607455850880493,-2.2804474386628468e-07,0,2.6939440319746595
20260225_172553,stim_3,stim,25.333333333333332,-69.62986493833517,-69.62986563744342,-69.62986528789034,-195.78103389437922,0.21978203137132696,0.21978104958488898,-9.817864379813024e-07,0,2.6939440319746595
