run_id,participant,trialN,stimId,stimType,stimFile,targetEar,heardEar,correct,rt,confidence,conf_rt
20260225_172553,Max,0,stim_3,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_stim_3_COMP.wav,R,L,0,2.4954799999995885,5,1.4366226000001916
20260225_172553,Max,1,stim_1,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_stim_1_COMP.wav,L,L,1,1.2448143000001437,5,1.165698800001337
20260225_172553,Max,2,stim_2,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_stim_2_COMP.wav,R,R,1,2.256490499999927,4,1.5881733000005624
20260225_172553,Max,3,stim_5,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_stim_5_COMP.wav,L,R,0,1.5473107999987405,5,1.3766677000003256
20260225_172553,Max,4,sham_3,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_sham_3_COMP.wav,R,N,1,1.663031599999158,5,2.53229409999949
20260225_172553,Max,5,sham_2,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_sham_2_COMP.wav,R,N,1,1.946136500000648,5,1.3630967999997665
20260225_172553,Max,6,sham_1,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_sham_1_COMP.wav,R,N,1,1.6549678999999742,3,1.79000459999952
20260225_172553,Max,7,stim_4,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_stim_4_COMP.wav,R,L,0,1.3328502000003937,5,1.5054084000003058
20260225_172553,Max,mel_0,melody_1,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_melody_1_COMP.wav,,,,3.41332489999877,5,1.337857599999552
20260225_172553,Max,mel_1,melody_2,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172553\PHASED_Preparation\WAV_COMP\20260225_172553_melody_2_COMP.wav,,,,2.2347805999997945,5,1.1251525999996375
