run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_171415,melody_2,melody,0.0,-60.3780930319521,-60.38273776553481,-60.380415088275114,-131.83808518090385,3.141592653589793,3.141592653589793,0.0,0,0.0
20260225_171415,melody_2,melody,0.4166666666666667,-51.92686200636105,-51.929164205311324,-51.92801303927678,-128.96136120884512,-0.8292367684430975,-0.829331363680142,-9.459523704458128e-05,0,0.0
20260225_171415,melody_2,melody,0.8333333333333334,-51.52319831499351,-51.52360065889206,-51.52339950547592,-134.24777786269834,2.1843902216323285,2.1845288410464208,0.00013861941409221146,0,0.0
20260225_171415,melody_2,melody,1.25,-55.376018480261884,-55.3770943986919,-55.37655699378778,-124.06336534859248,-1.6413465232188482,-1.6406213453902467,0.0007251778286014866,0,0.0
20260225_171415,melody_2,melody,1.6666666666666667,-66.35118563176806,-66.34839422630108,-66.34979023009772,-135.52328358011,1.2494041978617305,1.2500211011273348,0.0006169032656042628,0,0.0
20260225_171415,melody_2,melody,2.0833333333333335,-65.09845285358607,-65.11301801922512,-65.10573246020465,-126.52841816766278,0.7901510085146481,0.7904169646908568,0.0002659561762086149,0,0.0
20260225_171415,melody_2,melody,2.5,-67.51660540058948,-67.52277731040363,-67.51969207524998,-131.3060344230326,2.7585837680586693,2.7575031092438236,-0.0010806588148457585,0,0.0
20260225_171415,melody_2,melody,2.916666666666667,-60.1195908709588,-60.122884722336366,-60.12123764056335,-134.56259739688483,-0.22072920821118905,-0.22072228703750185,6.92117368719658e-06,0,0.0
20260225_171415,melody_2,melody,3.3333333333333335,-67.55447616719445,-67.55170299750085,-67.55308977979216,-137.71092794282487,2.929425696169,2.9299584140428268,0.0005327178738268046,0,0.0
20260225_171415,melody_2,melody,3.75,-57.03311695697815,-57.038864717662,-57.03599039193396,-126.37672483667745,-2.6976969097428474,-2.697530542802173,0.0001663669406744006,0,0.0
20260225_171415,melody_2,melody,4.166666666666667,-56.03467256013446,-56.03430338125563,-56.03448798153497,-140.72065834800156,0.8075258499414268,0.8076344338532911,0.00010858391186430173,0,0.0
20260225_171415,melody_2,melody,4.583333333333334,-67.39462801635271,-67.37611625790021,-67.38536884533805,-125.58657870098023,-1.8562719559969372,-1.8575009216795104,-0.0012289656825732465,0,0.0
