run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_171415,sham_3,sham,0.0,-63.63017687308874,-63.63017687308874,-63.63017687308874,-400.0,3.141592653589793,3.141592653589793,0.0,0,0.0
20260225_171415,sham_3,sham,1.3333333333333333,-55.237726532514905,-55.237726532514905,-55.237726532514905,-400.0,-1.4335352544641642,-1.4335352544641642,0.0,0,0.0
20260225_171415,sham_3,sham,2.6666666666666665,-49.54382020806378,-49.54382020806378,-49.54382020806378,-400.0,1.3753798766729628,1.3753798766729628,0.0,0,0.0
20260225_171415,sham_3,sham,4.0,-51.69836575683503,-51.69836575683503,-51.69836575683503,-400.0,-2.211114526660581,-2.211114526660581,0.0,0,0.0
20260225_171415,sham_3,sham,5.333333333333333,-51.47035516410136,-51.47035516410136,-51.47035516410136,-400.0,0.4811149464782739,0.4811149464782739,0.0,0,0.0
20260225_171415,sham_3,sham,6.666666666666666,-51.16270343686429,-51.16270343686429,-51.16270343686429,-400.0,-2.111707056174415,-2.111707056174415,0.0,0,0.0
20260225_171415,sham_3,sham,8.0,-54.393098630382745,-54.393098630382745,-54.393098630382745,-400.0,1.9856736436287563,1.9856736436287563,0.0,0,0.0
20260225_171415,sham_3,sham,9.333333333333332,-64.83554781743761,-64.83554781743761,-64.83554781743761,-400.0,-0.037305327357498974,-0.037305327357498974,0.0,0,0.0
20260225_171415,sham_3,sham,10.666666666666666,-56.58022963054164,-56.58022963054164,-56.58022963054164,-400.0,-0.46142932203285425,-0.46142932203285425,0.0,0,0.0
20260225_171415,sham_3,sham,12.0,-53.199261014571526,-53.199261014571526,-53.199261014571526,-400.0,3.0907786354002194,3.0907786354002194,0.0,0,0.0
20260225_171415,sham_3,sham,13.333333333333332,-54.427789583174814,-54.427789583174814,-54.427789583174814,-400.0,0.0038916439497240505,0.0038916439497240505,0.0,0,0.0
20260225_171415,sham_3,sham,14.666666666666666,-56.206020167152076,-56.206020167152076,-56.206020167152076,-400.0,1.760267201389844,1.760267201389844,0.0,0,0.0
20260225_171415,sham_3,sham,16.0,-53.270381797690035,-53.270381797690035,-53.270381797690035,-400.0,-2.2572614271389755,-2.2572614271389755,0.0,0,0.0
20260225_171415,sham_3,sham,17.333333333333332,-58.88929318240906,-58.88929318240906,-58.88929318240906,-400.0,-1.1239268755685128,-1.1239268755685128,0.0,0,0.0
20260225_171415,sham_3,sham,18.666666666666664,-52.78584088186505,-52.78584088186505,-52.78584088186505,-400.0,1.4492825672126066,1.4492825672126066,0.0,0,0.0
20260225_171415,sham_3,sham,20.0,-57.78205735946939,-57.78205735946939,-57.78205735946939,-400.0,-0.08970142571348,-0.08970142571348,0.0,0,0.0
