run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_171415,stim_1,stim,0.0,-53.23166976449485,-53.231650623260805,-53.23166019387256,-172.3891475730595,3.141592653589793,3.141592653589793,0.0,0,2.0460341628497574
20260225_171415,stim_1,stim,1.3333333333333333,-55.99222386379449,-55.99223949883185,-55.99223168131644,-172.23767319999868,1.1346115879202594,1.134614088975154,2.5010548945214595e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,2.6666666666666665,-53.690787099459946,-53.69079048427275,-53.69078879187205,-172.26706000052704,-1.0830736530857334,-1.0830759768604425,-2.3237747091009453e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,4.0,-57.68705120840571,-57.68702139784995,-57.68703630312019,-171.5280248193918,3.0701604020533995,3.0701625789905953,2.176937195841333e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,5.333333333333333,-50.07018349993925,-50.07019844869263,-50.070190974312894,-171.1534589524712,0.8571084584237516,0.8571088521234187,3.9369966708946436e-07,0,2.0460341628497574
20260225_171415,stim_1,stim,6.666666666666666,-50.421711235581135,-50.421694141589285,-50.42170268858101,-170.5586997473565,-2.4050808657998655,-2.4050808139014004,5.189846508102391e-08,0,2.0460341628497574
20260225_171415,stim_1,stim,8.0,-51.32667109934473,-51.32668284911684,-51.3266769742326,-170.08019247775323,-0.09756853742513066,-0.09757040821570802,-1.8707905773546196e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,9.333333333333332,-48.21325140520451,-48.21324213810786,-48.21324677165691,-169.5410407221184,-3.084653395953237,-3.084652051327158,1.344626079369249e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,10.666666666666666,-49.24081386864361,-49.24083180993299,-49.24082283928367,-168.95102245144642,0.9828880128976819,0.9828879156618221,-9.723585980836447e-08,0,2.0460341628497574
20260225_171415,stim_1,stim,12.0,-46.42486961226348,-46.42485945621493,-46.42486453423886,-168.60902661589557,-1.3158863766550295,-1.3158874022666096,-1.0256115801077215e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,13.333333333333332,-45.78652381274645,-45.786531492087704,-45.78652765241792,-168.12297713784662,2.1348461859894945,2.1348474325955147,1.2466060201887785e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,14.666666666666666,-47.12323987665512,-47.1232401829116,-47.12324002978703,-167.8611233495423,-0.32141312712123976,-0.32141496389567836,-1.8367744386016405e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,16.0,-48.41329460364322,-48.41328878476111,-48.41329169420632,-167.69458952446558,-3.0973152974953595,-3.097313230837603,2.066657756483181e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,17.333333333333332,-52.0162438296612,-52.01623970028479,-52.01624176498558,-167.23063159122285,-0.37716227473245256,-0.37716571185792774,-3.4371254751808245e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,18.666666666666664,-53.56321291601088,-53.563217203029126,-53.56321505953829,-167.19750168220247,2.8535943817218623,2.853598514484298,4.13276243582672e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,20.0,-56.50200397086966,-56.501982241530825,-56.50199310622364,-167.19951839433816,-0.5668427284197106,-0.5668480016076691,-5.273187958509951e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,21.333333333333332,-53.79593909399957,-53.7959740115686,-53.79595655276929,-167.10156476103936,1.8722608844713922,1.8722624733672861,1.588895893966935e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,22.666666666666664,-59.708239840769465,-59.708208732142374,-59.7082242865076,-167.08032920098725,-0.4522579568390614,-0.4522657305014366,-7.773662375198942e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,24.0,-55.02890204431963,-55.02886315907478,-55.02888260168007,-167.19349830743334,-1.9819897620063502,-1.981987698620679,2.06338567121378e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,25.333333333333332,-66.39884822098276,-66.39870338443228,-66.39877580245737,-167.29101987459924,-1.0970813730527547,-1.0970882766948957,-6.903642141065092e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,26.666666666666664,-48.02562663863212,-48.02564462386879,-48.02563563124585,-167.68491986553505,1.6194914007853454,1.6194912034200515,-1.9736529388580948e-07,0,2.0460341628497574
20260225_171415,stim_1,stim,28.0,-51.43629530977097,-51.43627160115025,-51.43628345545437,-167.84258282422837,-0.9431149767438094,-0.943116280474513,-1.303730703616779e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,29.333333333333332,-51.32975283495378,-51.32974786122209,-51.329750348096105,-168.22341255504602,-2.6849157843530893,-2.6849129823925644,2.8019605249340884e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,30.666666666666664,-53.09136683657961,-53.09136221651269,-53.09136452655804,-168.4966764276643,0.18185798380918688,0.18185463133220692,-3.3524769799675443e-06,0,2.0460341628497574
20260225_171415,stim_1,stim,32.0,-50.00943232386565,-50.009445478202394,-50.00943890103425,-169.2252837414439,2.791334264657858,2.79133584516049,1.5805026323256754e-06,0,2.0460341628497574
