run_id,participant,trialN,stimId,stimType,stimFile,targetEar,heardEar,correct,rt,confidence,conf_rt
20260225_171415,morgan,0,stim_5,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_5_COMP.wav,R,N,0,5.735862499999712,4,4.951307599999382
20260225_171415,morgan,1,stim_2,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_2_COMP.wav,L,L,1,3.0903580000003785,5,3.9562380999996094
20260225_171415,morgan,2,stim_1,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_1_COMP.wav,L,R,0,2.760744000000159,3,2.5577036000004227
20260225_171415,morgan,3,stim_3,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_3_COMP.wav,L,R,0,2.1815982999996777,4,1.8120437999996284
20260225_171415,morgan,4,sham_3,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_sham_3_COMP.wav,L,N,1,1.6926741000006587,5,2.8593365999995513
20260225_171415,morgan,5,sham_1,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_sham_1_COMP.wav,L,N,1,2.1224935999998706,4,1.9471320999991804
20260225_171415,morgan,6,stim_4,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_4_COMP.wav,L,R,0,1.571769399999539,5,1.6800107999997635
20260225_171415,morgan,7,sham_2,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_sham_2_COMP.wav,R,N,1,1.2088811000003261,5,1.384506099999271
20260225_171415,morgan,mel_0,melody_2,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_melody_2_COMP.wav,,,,1.741567600000053,5,2.4844416000005367
20260225_171415,morgan,mel_1,melody_1,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_melody_1_COMP.wav,,,,4.131897299999764,4,1.47188880000067
