thisRow.t,notes,hp_volume,cal_refTone440_onExit,ht_skipped,ht_skip_reason,ht_ear,ht_freq,ht_threshold_amp,phase,trialN,stimId,stimType,stimFile,targetEar,heardEar,correct,resp,rt,confidence,conf_rt,melody_count,participant,run_id,
,,0.3,False,,,,,,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,False,,,,,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,L,250,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,L,500,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,L,1000,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,L,2000,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,L,4000,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,L,8000,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,R,250,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,R,500,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,R,1000,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,R,2000,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,R,4000,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,R,8000,0.02,,,,,,,,,,,,,,morgan,20260225_171415,
,,,,,,,,,E_main,0,stim_5,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_5_COMP.wav,R,N,0,n,5.735862499999712,4,4.951307599999382,,morgan,20260225_171415,
,,,,,,,,,E_main,1,stim_2,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_2_COMP.wav,L,L,1,l,3.0903580000003785,5,3.9562380999996094,,morgan,20260225_171415,
,,,,,,,,,E_main,2,stim_1,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_1_COMP.wav,L,R,0,r,2.760744000000159,3,2.5577036000004227,,morgan,20260225_171415,
,,,,,,,,,E_main,3,stim_3,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_3_COMP.wav,L,R,0,r,2.1815982999996777,4,1.8120437999996284,,morgan,20260225_171415,
,,,,,,,,,E_main,4,sham_3,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_sham_3_COMP.wav,L,N,1,n,1.6926741000006587,5,2.8593365999995513,,morgan,20260225_171415,
,,,,,,,,,E_main,5,sham_1,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_sham_1_COMP.wav,L,N,1,n,2.1224935999998706,4,1.9471320999991804,,morgan,20260225_171415,
,,,,,,,,,E_main,6,stim_4,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_stim_4_COMP.wav,L,R,0,r,1.571769399999539,5,1.6800107999997635,,morgan,20260225_171415,
,,,,,,,,,E_main,7,sham_2,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_sham_2_COMP.wav,R,N,1,n,1.2088811000003261,5,1.384506099999271,,morgan,20260225_171415,
,,,,,,,,,E_melody,mel_0,melody_2,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_melody_2_COMP.wav,,,,,1.741567600000053,5,2.4844416000005367,6,morgan,20260225_171415,
,,,,,,,,,E_melody,mel_1,melody_1,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_171415\PHASED_Preparation\WAV_COMP\20260225_171415_melody_1_COMP.wav,,,,,4.131897299999764,4,1.47188880000067,0,morgan,20260225_171415,
