run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_154659,stim_5,stim,0.0,-58.84695535525695,-58.846973749281574,-58.846964552264396,-178.35031534128495,3.141592653589793,3.141592653589793,0.0,0,7.141291859774796
20260225_154659,stim_5,stim,1.3333333333333333,-60.33548520648029,-60.335488768002534,-60.33548698724811,-178.2202363250211,1.4500188574882433,1.4500163391689715,-2.5183192717825875e-06,0,7.141291859774796
20260225_154659,stim_5,stim,2.6666666666666665,-57.562544939083686,-57.562533850649764,-57.562539394867834,-177.26373553846338,0.3802499183873423,0.38024828891462253,-1.6294727197552206e-06,0,7.141291859774796
20260225_154659,stim_5,stim,4.0,-58.803722830869745,-58.803728004773404,-58.803725417828694,-176.2123638735714,-2.542701215189112,-2.542698586592577,2.6285965351036116e-06,0,7.141291859774796
20260225_154659,stim_5,stim,5.333333333333333,-57.180624420063644,-57.18063823941112,-57.18063132973963,-174.66449898174486,1.3232606248584602,1.3232584781696897,-2.1466887705212656e-06,0,7.141291859774796
20260225_154659,stim_5,stim,6.666666666666666,-51.95520991134917,-51.9551965740537,-51.955203242699106,-173.87698997386286,-1.2976780216113823,-1.2976775612923326,4.6031904976651106e-07,0,7.141291859774796
20260225_154659,stim_5,stim,8.0,-53.973790393389095,-53.97380859289083,-53.973799493136134,-172.7882906972713,2.4391288599573926,2.439129790118783,9.301613905776662e-07,0,7.141291859774796
20260225_154659,stim_5,stim,9.333333333333332,-69.72299446419298,-69.72306762602054,-69.72303104522396,-171.76681858535852,0.9625412272973665,0.9625278518335852,-1.3375463781217789e-05,0,7.141291859774796
20260225_154659,stim_5,stim,10.666666666666666,-56.12610386259395,-56.12607561500802,-56.1260897387922,-170.98546780494803,-0.799532110854602,-0.7995336885354447,-1.5776808427458988e-06,0,7.141291859774796
20260225_154659,stim_5,stim,12.0,-53.11998221454708,-53.12000004072112,-53.11999112763328,-170.2954564886768,2.5970883504154525,2.597090208648371,1.8582329186500601e-06,0,7.141291859774796
