run_id,stimId,stimType,centerFreqHz,wavPath,fftCsvPath
20260225_172023,sham_1,sham,315.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_sham_1.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_sham_1_FFT.csv
20260225_172023,sham_2,sham,250.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_sham_2.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_sham_2_FFT.csv
20260225_172023,sham_3,sham,200.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_sham_3.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_sham_3_FFT.csv
20260225_172023,stim_1,stim,200.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_stim_1.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_stim_1_FFT.csv
20260225_172023,stim_2,stim,500.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_stim_2.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_stim_2_FFT.csv
20260225_172023,stim_3,stim,400.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_stim_3.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_stim_3_FFT.csv
20260225_172023,stim_4,stim,500.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_stim_4.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_stim_4_FFT.csv
20260225_172023,stim_5,stim,630.0,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_stim_5.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_stim_5_FFT.csv
20260225_172023,melody_1,melody,,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_melody_1.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_melody_1_FFT.csv
20260225_172023,melody_2,melody,,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\WAV\20260225_172023_melody_2.wav,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASEA_FileAcquisition\FFT_CSV\20260225_172023_melody_2_FFT.csv
