run_id,participant,trialN,stimId,stimType,stimFile,targetEar,heardEar,correct,rt,confidence,conf_rt
20260225_172023,Yifan,0,sham_3,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_sham_3_COMP.wav,L,N,1,3.661321899999166,5,3.493180100000245
20260225_172023,Yifan,1,sham_2,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_sham_2_COMP.wav,R,L,0,13.741150500000003,2,3.7166885000006005
20260225_172023,Yifan,2,stim_1,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_1_COMP.wav,R,L,0,4.868631699999241,5,2.943724299999303
20260225_172023,Yifan,3,stim_2,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_2_COMP.wav,R,L,0,2.4946538000003784,5,1.7625009000003047
20260225_172023,Yifan,4,stim_3,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_3_COMP.wav,L,L,1,2.634612700001526,4,3.9418901999997615
20260225_172023,Yifan,5,sham_1,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_sham_1_COMP.wav,L,R,0,7.346937399999661,2,4.012870100001237
20260225_172023,Yifan,6,stim_5,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_5_COMP.wav,L,L,1,1.8668612000001303,5,1.452103999999963
20260225_172023,Yifan,7,stim_4,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_4_COMP.wav,L,L,1,2.9149059999999736,5,1.5315358000007109
20260225_172023,Yifan,mel_0,melody_2,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_melody_2_COMP.wav,,,,3.0050491000001784,5,3.080113199999687
20260225_172023,Yifan,mel_1,melody_1,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_melody_1_COMP.wav,,,,1.436150199999247,5,1.509977699999581
