thisRow.t,notes,hp_volume,cal_refTone440_onExit,ht_skipped,ht_skip_reason,ht_ear,ht_freq,ht_threshold_amp,phase,trialN,stimId,stimType,stimFile,targetEar,heardEar,correct,resp,rt,confidence,conf_rt,melody_count,participant,run_id,
,,0.3,False,,,,,,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,False,,,,,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,L,250,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,L,500,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,L,1000,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,L,2000,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,L,4000,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,L,8000,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,R,250,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,R,500,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,R,1000,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,R,2000,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,R,4000,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,R,8000,0.02,,,,,,,,,,,,,,Yifan,20260225_172023,
,,,,,,,,,E_main,0,sham_3,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_sham_3_COMP.wav,L,N,1,n,3.661321899999166,5,3.493180100000245,,Yifan,20260225_172023,
,,,,,,,,,E_main,1,sham_2,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_sham_2_COMP.wav,R,L,0,l,13.741150500000003,2,3.7166885000006005,,Yifan,20260225_172023,
,,,,,,,,,E_main,2,stim_1,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_1_COMP.wav,R,L,0,l,4.868631699999241,5,2.943724299999303,,Yifan,20260225_172023,
,,,,,,,,,E_main,3,stim_2,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_2_COMP.wav,R,L,0,l,2.4946538000003784,5,1.7625009000003047,,Yifan,20260225_172023,
,,,,,,,,,E_main,4,stim_3,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_3_COMP.wav,L,L,1,l,2.634612700001526,4,3.9418901999997615,,Yifan,20260225_172023,
,,,,,,,,,E_main,5,sham_1,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_sham_1_COMP.wav,L,R,0,r,7.346937399999661,2,4.012870100001237,,Yifan,20260225_172023,
,,,,,,,,,E_main,6,stim_5,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_5_COMP.wav,L,L,1,l,1.8668612000001303,5,1.452103999999963,,Yifan,20260225_172023,
,,,,,,,,,E_main,7,stim_4,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_stim_4_COMP.wav,L,L,1,l,2.9149059999999736,5,1.5315358000007109,,Yifan,20260225_172023,
,,,,,,,,,E_melody,mel_0,melody_2,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_melody_2_COMP.wav,,,,,3.0050491000001784,5,3.080113199999687,6,Yifan,20260225_172023,
,,,,,,,,,E_melody,mel_1,melody_1,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_172023\PHASED_Preparation\WAV_COMP\20260225_172023_melody_1_COMP.wav,,,,,1.436150199999247,5,1.509977699999581,6,Yifan,20260225_172023,
