Frequency,Magnitude_dB,Phase_rad,FlippedBand,Channel,Compensated
0.0,-1.6019742,-0.0,False,left,True
1.0,4.4553485,1.3283458,False,left,True
2.0,-0.30710176,2.7738187,False,left,True
3.0,6.930502,1.707251,False,left,True
4.0,2.9261026,-2.9735205,False,left,True
5.0,8.635544,1.8237082,False,left,True
6.0,-8.751511,1.3572949,False,left,True
7.0,1.7750185,-2.5602748,False,left,True
8.0,0.70057124,-1.4972836,False,left,True
9.0,-2.0196302,0.5815656,False,left,True
10.0,6.1750817,2.1041522,False,left,True
11.0,-10.262275,-2.8468068,False,left,True
12.0,4.528592,0.5035536,False,left,True
13.0,0.48425135,3.130486,False,left,True
14.0,-1.1117104,-1.699133,False,left,True
15.0,-2.8389664,-0.3030852,False,left,True
16.0,6.909157,-0.07088297,False,left,True
17.0,-5.8503013,0.25913623,False,left,True
18.0,-1.4724029,0.78137857,False,left,True
19.0,4.1437902,1.3389785,False,left,True
20.0,4.8389726,2.7944603,False,left,True
21.0,3.8311136,0.59534657,False,left,True
22.0,1.9495296,1.0400755,False,left,True
23.0,0.8834574,3.0660293,False,left,True
24.0,-8.173786,-2.455996,False,left,True
25.0,-15.352234,-1.7076411,False,left,True
26.0,4.6666136,2.0471184,False,left,True
27.0,-4.102684,-2.3336487,False,left,True
28.0,-1.7211872,-2.5989025,False,left,True
29.0,6.492617,-3.1183903,False,left,True
30.0,-1.3873352,-0.7018708,False,left,True
31.0,-0.21056435,2.5851457,False,left,True
32.0,-4.258048,0.8844894,False,left,True
33.0,-11.773088,1.4816916,False,left,True
34.0,-1.9420813,1.6323925,False,left,True
35.0,3.7135262,0.53793406,False,left,True
36.0,-4.376157,-2.68071,False,left,True
37.0,-5.723719,-0.25097656,False,left,True
38.0,-1.3321059,-1.6324574,False,left,True
39.0,-0.67120427,0.8360138,False,left,True
40.0,-0.5866497,-2.0344596,False,left,True
41.0,-4.243577,-1.9237223,False,left,True
42.0,-1.1680405,1.913557,False,left,True
43.0,-5.012178,-2.1551554,False,left,True
44.0,-1.1542239,-2.054711,False,left,True
45.0,-4.979588,1.6627601,False,left,True
46.0,6.5597343,2.4295805,False,left,True
47.0,3.751894,2.5713067,False,left,True
48.0,-4.0125856,-0.8796055,False,left,True
49.0,-0.3974697,2.5819402,False,left,True
50.0,-8.260944,-1.7343752,False,left,True
51.0,4.8688583,-0.70162904,False,left,True
52.0,-8.324322,-1.5340842,False,left,True
53.0,-1.9198444,-0.6545872,False,left,True
54.0,-5.8963194,-1.5412952,False,left,True
55.0,-8.937612,3.0084705,False,left,True
56.0,-5.1191893,1.3695861,False,left,True
57.0,-4.681157,-2.0242813,False,left,True
58.0,2.7551718,-2.5785275,False,left,True
59.0,3.2374618,-2.4324346,False,left,True
60.0,4.6246257,1.5164168,False,left,True
61.0,-1.7560636,2.822646,False,left,True
62.0,-1.6512238,-0.93667996,False,left,True
63.0,2.3055289,-1.0117805,False,left,True
64.0,1.6162665,2.3440006,False,left,True
65.0,1.9001304,2.5290122,False,left,True
66.0,1.9573067,-2.6320674,False,left,True
67.0,2.8699172,3.0646248,False,left,True
68.0,2.4783924,-0.13143204,False,left,True
69.0,1.5135357,-1.94577,False,left,True
70.0,6.2996845,-1.9455762,False,left,True
71.0,4.5833254,-0.44002795,False,left,True
72.0,2.2598114,0.98295164,False,left,True
73.0,6.45845,-1.7481834,False,left,True
74.0,2.6992223,1.7786745,False,left,True
75.0,-1.0918401,2.0208144,False,left,True
76.0,-5.577261,0.84743154,False,left,True
77.0,-7.4497457,1.4185948,False,left,True
78.0,4.534069,-3.005657,False,left,True
79.0,-4.770377,0.62890744,False,left,True
80.0,2.226391,-0.72604334,False,left,True
81.0,-10.248653,1.5252721,False,left,True
82.0,1.0643265,-2.003416,False,left,True
83.0,0.46102285,2.5823033,False,left,True
84.0,5.155713,-2.7838874,False,left,True
85.0,-0.35865244,2.6156468,False,left,True
86.0,7.2499943,1.7505285,False,left,True
87.0,-3.7961211,1.8359157,False,left,True
88.0,-2.1349156,-1.3491195,False,left,True
89.0,-10.599113,-1.6955751,False,left,True
90.0,7.755053,-3.0115492,False,left,True
91.0,5.346488,0.959058,False,left,True
92.0,5.049395,-2.5678256,False,left,True
93.0,7.1442366,1.7396818,False,left,True
94.0,-5.8295565,0.04970612,False,left,True
95.0,7.5144005,3.1347191,False,left,True
96.0,0.9148473,2.689762,False,left,True
97.0,-5.466316,2.3478744,False,left,True
98.0,-0.8744618,2.848914,False,left,True
99.0,4.1575623,-0.5919361,False,left,True
100.0,0.51271087,-0.8559854,False,left,True
101.0,-3.784284,0.283258,False,left,True
102.0,-14.021515,-1.2898632,False,left,True
103.0,0.16781482,-2.3106291,False,left,True
104.0,1.7433338,-0.64181364,False,left,True
105.0,3.0584946,-2.4025118,False,left,True
106.0,1.8304176,2.1547413,False,left,True
107.0,-2.601658,3.021073,False,left,True
108.0,0.51969486,-1.8820645,False,left,True
109.0,5.0150805,1.2497168,False,left,True
110.0,-0.9971381,-1.3993402,False,left,True
111.0,4.7395363,1.7123742,False,left,True
112.0,-8.54569,0.65279096,False,left,True
113.0,2.7578948,-2.9916372,False,left,True
114.0,6.057184,0.8276702,False,left,True
115.0,7.836071,-0.8566105,False,left,True
116.0,2.7822514,-1.0226719,False,left,True
117.0,5.687489,2.4125772,False,left,True
118.0,1.360872,2.7842278,False,left,True
119.0,-2.2414098,-2.644438,False,left,True
120.0,2.2118983,2.170884,False,left,True
121.0,0.33698493,2.5173724,False,left,True
122.0,3.4008362,-0.5703027,False,left,True
123.0,0.122741416,-1.8302891,False,left,True
124.0,-4.3654547,-2.8825371,False,left,True
125.0,-4.521442,3.0459476,False,left,True
126.0,4.8440876,0.79339576,False,left,True
127.0,-1.0653324,1.9118359,False,left,True
128.0,4.5036383,0.50606716,False,left,True
129.0,4.1146307,-0.4710095,False,left,True
130.0,0.9585972,0.63200855,False,left,True
131.0,-12.083713,2.5508041,False,left,True
132.0,5.718782,2.1743915,False,left,True
133.0,4.399717,0.07457361,False,left,True
134.0,-0.47550276,-1.2295246,False,left,True
135.0,1.3839649,-2.409255,False,left,True
136.0,-4.7024145,-2.8131506,False,left,True
137.0,0.49838766,0.13918892,False,left,True
138.0,-1.2816641,2.1903634,False,left,True
139.0,1.4041764,-2.7200618,False,left,True
140.0,7.2315035,0.4544888,False,left,True
141.0,3.953528,-2.789631,False,left,True
142.0,-3.1871753,-2.898763,False,left,True
143.0,1.2455646,2.0852292,False,left,True
144.0,8.429491,-0.032891598,False,left,True
145.0,4.3178215,0.19079883,False,left,True
146.0,-5.1249285,-2.7273936,False,left,True
147.0,6.0669827,1.8561022,False,left,True
148.0,1.8976849,-2.6156735,False,left,True
149.0,3.2795491,2.0924153,False,left,True
150.0,-1.0359738,-0.37736058,False,left,True
151.0,2.685646,0.5991295,False,left,True
152.0,7.624749,1.5896871,False,left,True
153.0,-4.1673355,-2.0680492,False,left,True
154.0,-14.958129,0.44396335,False,left,True
155.0,-3.0647945,-2.3791044,False,left,True
156.0,-1.4197326,2.261428,False,left,True
157.0,-4.7199225,-2.2899685,False,left,True
158.0,6.6228323,0.72482896,False,left,True
159.0,6.3194613,2.844222,False,left,True
160.0,0.59495294,-2.2385259,False,left,True
161.0,6.6099734,-2.8784566,False,left,True
162.0,-1.6352062,-2.748683,False,left,True
163.0,2.1411717,-1.6193728,False,left,True
164.0,-4.048781,-1.5943042,False,left,True
165.0,-16.847897,-2.9257555,False,left,True
166.0,3.1191418,2.793881,False,left,True
167.0,6.9837403,-1.4978467,False,left,True
