Frequency,Magnitude_dB,Phase_rad,FlippedBand,Channel,Compensated
0.0,24.708767,-0.0,False,right,True
1.0,25.723818,0.42797375,False,right,True
2.0,31.378382,-0.42996475,False,right,True
3.0,19.91779,-1.4389002,False,right,True
4.0,37.095703,1.1378218,False,right,True
5.0,30.755203,2.7138875,False,right,True
6.0,36.751076,-0.8850496,False,right,True
7.0,25.476885,-1.9571863,False,right,True
8.0,37.38389,-1.4857352,False,right,True
9.0,32.277752,-0.5791526,False,right,True
10.0,31.423216,1.4798927,False,right,True
11.0,32.670162,2.4716165,False,right,True
12.0,30.847446,2.081337,False,right,True
13.0,34.316925,-0.8810112,False,right,True
14.0,36.527584,-1.3461684,False,right,True
15.0,36.22685,-2.3244555,False,right,True
16.0,26.891647,-0.4000825,False,right,True
17.0,26.636261,2.0195417,False,right,True
18.0,30.019463,0.65075314,False,right,True
19.0,34.689617,-1.0610625,False,right,True
20.0,33.696835,-0.4642504,False,right,True
21.0,17.178768,-2.6280255,False,right,True
22.0,33.529297,1.8786396,False,right,True
23.0,38.223087,-2.425702,False,right,True
24.0,31.286648,-2.089504,False,right,True
25.0,31.666271,0.4386148,False,right,True
26.0,35.228336,0.58704984,False,right,True
27.0,32.487274,-0.5156777,False,right,True
28.0,34.78968,-0.05393008,False,right,True
29.0,32.823925,2.2047217,False,right,True
30.0,22.818233,-2.3024151,False,right,True
31.0,28.8548,-2.7881835,False,right,True
32.0,32.66859,-1.2895693,False,right,True
33.0,33.275646,-2.947904,False,right,True
34.0,30.118559,1.7437905,False,right,True
35.0,34.12356,0.28216907,False,right,True
36.0,32.594784,0.48012123,False,right,True
37.0,30.145218,-1.408928,False,right,True
38.0,35.965603,1.6661258,False,right,True
39.0,35.050667,2.712647,False,right,True
40.0,31.36283,0.20019005,False,right,True
41.0,28.863781,-0.47195238,False,right,True
42.0,32.017967,-1.3095126,False,right,True
43.0,34.215626,-2.789071,False,right,True
44.0,31.9547,-2.7783554,False,right,True
45.0,35.29248,-1.8610806,False,right,True
46.0,27.869106,-1.5211445,False,right,True
47.0,29.573284,1.7438207,False,right,True
48.0,39.15738,2.8025715,False,right,True
49.0,19.28003,-2.6498866,False,right,True
50.0,30.615097,-1.1851494,False,right,True
51.0,26.620314,-0.008540577,False,right,True
52.0,29.489916,2.381461,False,right,True
53.0,19.30621,1.8359264,False,right,True
54.0,30.170042,1.5837644,False,right,True
55.0,32.846977,-0.31646267,False,right,True
56.0,28.703255,0.79341024,False,right,True
57.0,27.35419,-2.4699495,False,right,True
58.0,28.813541,-0.36649695,False,right,True
59.0,28.461267,-1.0946541,False,right,True
60.0,36.80945,2.3194435,False,right,True
61.0,23.080349,1.8984939,False,right,True
62.0,34.096867,-3.0353796,False,right,True
