Frequency,Magnitude_dB,Phase_rad,FlippedBand,Channel,Compensated
0.0,21.128244,-3.1415927,False,right,True
1.0,15.785454,-2.134909,False,right,True
2.0,22.375103,0.7419947,False,right,True
3.0,29.011972,-1.7982327,False,right,True
4.0,31.42545,-0.74341595,False,right,True
5.0,26.90968,-2.3308005,False,right,True
6.0,34.76083,0.3678945,False,right,True
7.0,21.36893,0.8945482,False,right,True
8.0,31.693623,-2.6320558,False,right,True
9.0,24.696245,-0.13490999,False,right,True
10.0,11.029774,-0.15757377,False,right,True
11.0,34.22953,-0.53938746,False,right,True
12.0,28.752863,-0.87809,False,right,True
13.0,28.194056,-2.367203,False,right,True
14.0,29.510386,-1.8600987,False,right,True
15.0,25.151243,-2.3177578,False,right,True
16.0,27.618984,0.19894996,False,right,True
17.0,29.79347,-1.6321442,False,right,True
18.0,22.204245,-0.6626724,False,right,True
19.0,19.651888,2.4264617,False,right,True
20.0,25.489786,-3.0356526,False,right,True
21.0,26.346336,-2.365939,False,right,True
22.0,26.679882,0.9211986,False,right,True
23.0,33.144314,3.0198598,False,right,True
24.0,30.43568,2.652589,False,right,True
25.0,34.707584,2.0174289,False,right,True
26.0,29.111692,-1.0861555,False,right,True
27.0,31.950966,1.6306539,False,right,True
28.0,20.834188,1.523778,False,right,True
29.0,32.056053,-0.5022536,False,right,True
30.0,30.25014,-1.7798806,False,right,True
31.0,29.700726,-0.18563344,False,right,True
32.0,0.56343615,-1.923525,False,right,True
33.0,33.58933,2.8163464,False,right,True
34.0,17.79944,2.8451579,False,right,True
35.0,30.343437,-0.14325768,False,right,True
36.0,29.629086,1.5381695,False,right,True
37.0,29.937609,-0.45135242,False,right,True
38.0,28.764942,-0.4340586,False,right,True
39.0,21.746008,0.39288324,False,right,True
40.0,29.443542,-1.9648751,False,right,True
41.0,24.880901,-1.7770065,False,right,True
42.0,18.586752,1.3366727,False,right,True
43.0,22.06404,0.8463489,False,right,True
44.0,22.615372,2.0965545,False,right,True
45.0,19.765713,-0.038243968,False,right,True
46.0,29.863873,-1.5061861,False,right,True
47.0,26.867165,0.51106626,False,right,True
48.0,31.11124,-0.6894162,False,right,True
49.0,35.674835,0.57331604,False,right,True
50.0,32.936825,0.8555573,False,right,True
51.0,28.754053,2.0809991,False,right,True
52.0,26.406815,1.2810471,False,right,True
53.0,24.079472,0.77650994,False,right,True
54.0,34.70297,-1.1903808,False,right,True
55.0,18.321207,-1.7612053,False,right,True
56.0,24.02798,-0.27177992,False,right,True
57.0,26.450207,-3.0474906,False,right,True
58.0,24.989557,-2.5583258,False,right,True
59.0,30.466986,-0.7546048,False,right,True
60.0,32.538017,2.2193851,False,right,True
61.0,31.797249,-1.9131184,False,right,True
62.0,30.377924,-1.9167932,False,right,True
63.0,23.130058,-0.9989134,False,right,True
64.0,28.827742,-0.8769122,False,right,True
65.0,22.677736,1.4462924,False,right,True
66.0,31.75383,2.4979787,False,right,True
67.0,9.478279,0.49709436,False,right,True
68.0,29.397995,-0.6946095,False,right,True
69.0,32.674137,0.4842704,False,right,True
70.0,34.253265,1.4452875,False,right,True
71.0,28.416744,2.4910502,False,right,True
72.0,27.14148,0.7869695,False,right,True
73.0,29.212196,2.8658102,False,right,True
74.0,24.24178,-2.824097,False,right,True
75.0,31.181519,2.976946,False,right,True
76.0,30.185013,0.87428963,False,right,True
77.0,31.627447,-2.7236133,False,right,True
78.0,24.523098,2.4851863,False,right,True
79.0,32.769325,-1.4479314,False,right,True
80.0,28.176235,-2.950978,False,right,True
81.0,26.615551,0.7820598,False,right,True
82.0,30.404665,1.196524,False,right,True
83.0,28.780737,-0.03169789,False,right,True
84.0,29.533484,-0.31836,False,right,True
85.0,22.812992,-2.2566166,False,right,True
86.0,27.654953,-1.6389233,False,right,True
87.0,18.11394,-1.2959322,False,right,True
88.0,31.349377,0.67746985,False,right,True
89.0,25.350288,1.5398314,False,right,True
90.0,25.495264,0.39602095,False,right,True
91.0,29.502584,-0.5942009,False,right,True
92.0,22.545048,2.8996894,False,right,True
93.0,28.449772,0.96640414,False,right,True
94.0,33.274456,-1.6077732,False,right,True
95.0,23.73502,1.2226055,False,right,True
96.0,18.652956,1.6814882,False,right,True
97.0,31.858252,-0.31226885,False,right,True
98.0,31.360426,-3.1249526,False,right,True
99.0,18.42254,-1.8777846,False,right,True
100.0,34.06557,0.72389966,False,right,True
101.0,33.299503,-1.9916377,False,right,True
102.0,20.12887,0.90010023,False,right,True
103.0,14.75237,-2.8464248,False,right,True
104.0,17.127811,2.0932887,False,right,True
105.0,13.874916,-1.7820135,False,right,True
106.0,27.144157,-2.365156,False,right,True
107.0,21.369894,-2.3870587,False,right,True
108.0,31.158798,1.9660822,False,right,True
109.0,30.158329,0.2082521,False,right,True
110.0,27.899986,-1.528197,False,right,True
111.0,27.522364,-2.776079,False,right,True
112.0,25.31359,-2.430591,False,right,True
113.0,21.432287,-0.75079167,False,right,True
114.0,28.774836,-1.6462846,False,right,True
115.0,30.27681,3.0206258,False,right,True
116.0,27.596798,1.3625315,False,right,True
117.0,31.593702,0.0551196,False,right,True
118.0,19.364048,3.0079067,False,right,True
119.0,25.641285,-2.0622566,False,right,True
120.0,30.354488,-0.5724713,False,right,True
121.0,36.255188,1.9403791,False,right,True
122.0,27.073349,-2.2487535,False,right,True
123.0,22.734135,0.34800538,False,right,True
124.0,21.950521,-0.49646157,False,right,True
125.0,29.85446,0.3402431,False,right,True
126.0,23.9082,1.1658304,False,right,True
127.0,33.163567,1.782382,False,right,True
128.0,32.330517,1.4886003,False,right,True
129.0,13.309105,-0.022745855,False,right,True
130.0,34.702515,-0.39352268,False,right,True
131.0,25.138361,-1.1694816,False,right,True
132.0,30.910788,0.13173643,False,right,True
133.0,26.418087,-1.1411504,False,right,True
134.0,29.213564,-2.858226,False,right,True
135.0,26.17012,-2.9676235,False,right,True
136.0,34.375397,-3.1026084,False,right,True
137.0,28.732418,-1.0022838,False,right,True
138.0,25.553492,0.48421258,False,right,True
139.0,20.523844,0.9530702,False,right,True
140.0,29.565407,0.43008012,False,right,True
141.0,27.628101,2.4893806,False,right,True
142.0,28.650084,2.9602559,False,right,True
143.0,35.71049,-3.1074784,False,right,True
144.0,33.518005,-2.4877021,False,right,True
145.0,29.952194,1.0638995,False,right,True
146.0,33.24094,2.019726,False,right,True
147.0,28.094805,1.0413803,False,right,True
148.0,27.037357,1.5743085,False,right,True
149.0,25.467377,1.4824841,False,right,True
150.0,26.098148,2.7618966,False,right,True
151.0,22.612608,2.2667556,False,right,True
152.0,29.916077,3.0219057,False,right,True
153.0,30.558607,-2.5282142,False,right,True
154.0,25.238312,3.028294,False,right,True
155.0,32.516323,-1.6080753,False,right,True
156.0,35.177673,-1.2903211,False,right,True
157.0,31.571943,0.49848047,False,right,True
158.0,27.489231,2.2466426,False,right,True
159.0,27.364517,0.43416184,False,right,True
160.0,31.832258,-2.886001,False,right,True
161.0,26.459698,-2.780435,False,right,True
162.0,32.531654,1.6804441,False,right,True
163.0,28.164387,-0.70568043,False,right,True
164.0,33.920517,-0.4900085,False,right,True
165.0,34.560837,-0.17420459,False,right,True
166.0,30.519304,0.7456701,False,right,True
167.0,20.619255,1.3794478,False,right,True
168.0,30.810799,1.8005265,False,right,True
169.0,16.411118,2.061325,False,right,True
170.0,31.432854,3.02487,False,right,True
171.0,30.149387,1.5315781,False,right,True
172.0,29.749931,1.8718425,False,right,True
173.0,23.989126,-1.8229662,False,right,True
174.0,25.06284,-1.6405202,False,right,True
175.0,8.395237,1.9872812,False,right,True
176.0,29.076454,-3.0191908,False,right,True
177.0,19.355625,1.0494583,False,right,True
178.0,32.572117,-1.4141171,False,right,True
179.0,31.4559,-0.81133705,False,right,True
180.0,27.515553,-1.8544818,False,right,True
181.0,34.74192,-0.89323413,False,right,True
182.0,30.126713,0.09366839,False,right,True
183.0,13.388668,2.543414,False,right,True
184.0,29.343475,0.9672216,False,right,True
185.0,5.7262707,1.5500441,False,right,True
186.0,31.943598,-1.3316114,False,right,True
187.0,31.8511,2.6107702,False,right,True
188.0,31.324537,1.5599705,False,right,True
189.0,30.17942,-1.209341,False,right,True
190.0,29.266073,0.9506944,False,right,True
191.0,22.854845,0.91955936,False,right,True
192.0,33.92644,1.8945452,False,right,True
193.0,28.521572,-1.9727548,False,right,True
194.0,33.540504,0.6131174,False,right,True
195.0,30.49342,-1.867795,False,right,True
196.0,27.545279,-1.8902807,False,right,True
197.0,16.42358,-0.99567974,False,right,True
198.0,30.982323,0.5916089,False,right,True
199.0,29.984655,-0.035383303,False,right,True
200.0,18.167318,-0.31290838,False,right,True
201.0,27.205776,1.7293708,False,right,True
202.0,21.53679,-2.9686577,False,right,True
203.0,33.67633,-2.7852037,False,right,True
204.0,17.589952,0.046639115,False,right,True
205.0,25.418201,2.01364,False,right,True
206.0,24.908463,-0.8961525,False,right,True
207.0,23.779144,-1.1027973,False,right,True
208.0,31.032745,-0.27181697,False,right,True
209.0,35.523624,-2.0555904,False,right,True
210.0,29.932804,1.5122405,False,right,True
211.0,31.31093,0.44067577,False,right,True
212.0,31.165653,1.6127579,False,right,True
213.0,26.416775,1.8175595,False,right,True
214.0,33.668564,-1.2360498,False,right,True
215.0,37.270733,3.1352968,False,right,True
216.0,33.193058,3.0123892,False,right,True
217.0,36.396965,2.5221603,False,right,True
218.0,22.720318,-2.6240253,False,right,True
219.0,25.42685,0.3833492,False,right,True
220.0,14.28029,-1.2348473,False,right,True
221.0,26.347332,1.5170984,False,right,True
222.0,31.316309,0.56754065,False,right,True
223.0,24.964056,0.72445047,False,right,True
224.0,32.800705,-1.6380529,False,right,True
225.0,33.013725,-2.3221223,False,right,True
226.0,19.920235,2.574674,False,right,True
227.0,27.0383,2.2768185,False,right,True
228.0,23.036736,0.56739604,False,right,True
229.0,7.8464336,-0.49497008,False,right,True
230.0,27.863884,-0.83996713,False,right,True
231.0,25.57819,0.12487951,False,right,True
232.0,19.94334,2.8509173,False,right,True
233.0,24.427448,1.4359664,False,right,True
234.0,30.404835,-3.1104944,False,right,True
235.0,29.409851,2.2072492,False,right,True
236.0,25.854872,-2.4439769,False,right,True
237.0,26.626604,-1.9423962,False,right,True
238.0,35.104362,1.7665776,False,right,True
239.0,23.687538,1.5955869,False,right,True
240.0,28.403221,1.0605642,False,right,True
241.0,29.700525,-0.63341516,False,right,True
242.0,23.67987,0.09040021,False,right,True
243.0,28.961128,0.46326134,False,right,True
244.0,34.218327,2.1962094,False,right,True
245.0,26.135027,0.36126313,False,right,True
246.0,21.099995,-0.977465,False,right,True
247.0,29.1749,-1.6828895,False,right,True
248.0,35.718475,-2.7981243,False,right,True
249.0,21.717205,2.6631212,False,right,True
250.0,26.04778,-1.875912,False,right,True
251.0,33.783844,-2.77152,False,right,True
252.0,24.127869,-0.02430784,False,right,True
253.0,33.839146,-0.88760763,False,right,True
254.0,22.979956,1.2929959,False,right,True
255.0,27.631762,0.06697067,False,right,True
256.0,22.066921,1.559914,False,right,True
257.0,27.626503,-2.4190762,False,right,True
258.0,32.021233,-0.4493406,False,right,True
259.0,33.719944,-2.593681,False,right,True
260.0,32.263664,2.7406888,False,right,True
261.0,27.674522,-1.5339932,False,right,True
262.0,14.145802,0.077283,False,right,True
263.0,30.188868,-0.9632604,False,right,True
264.0,30.526031,1.6339358,False,right,True
265.0,30.67579,1.3579806,False,right,True
266.0,33.404804,-1.6222323,False,right,True
267.0,32.70671,0.3767492,False,right,True
268.0,30.773727,-1.5372847,False,right,True
269.0,31.316893,2.209354,False,right,True
270.0,26.647758,-0.791467,False,right,True
271.0,37.219105,1.7898967,False,right,True
272.0,32.725822,0.58808774,False,right,True
273.0,28.785618,-2.2245622,False,right,True
274.0,33.71922,-2.4281723,False,right,True
275.0,23.494627,0.6939095,False,right,True
276.0,32.0711,1.729704,False,right,True
277.0,8.165642,-0.60332453,False,right,True
278.0,25.914642,3.0223517,False,right,True
279.0,29.216545,1.4423095,False,right,True
