run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_154659,sham_3,sham,0.0,-59.00001071633685,-59.00001071633685,-59.00001071633685,-400.0,0.0,0.0,0.0,0,0.0
20260225_154659,sham_3,sham,1.3333333333333333,-56.31786990916966,-56.31786990916966,-56.31786990916966,-400.0,-3.0365237135777075,-3.0365237135777075,0.0,0,0.0
20260225_154659,sham_3,sham,2.6666666666666665,-67.27466018635099,-67.27466018635099,-67.27466018635099,-400.0,1.7505478872847524,1.7505478872847524,0.0,0,0.0
20260225_154659,sham_3,sham,4.0,-47.69145322065482,-47.69145322065482,-47.69145322065482,-400.0,-0.3070693474155362,-0.3070693474155362,0.0,0,0.0
20260225_154659,sham_3,sham,5.333333333333333,-48.32513994449389,-48.32513994449389,-48.32513994449389,-400.0,-2.8970774710760896,-2.8970774710760896,0.0,0,0.0
20260225_154659,sham_3,sham,6.666666666666666,-57.76440371443427,-57.76440371443427,-57.76440371443427,-400.0,2.074102014388346,2.074102014388346,0.0,0,0.0
20260225_154659,sham_3,sham,8.0,-50.854260296339156,-50.854260296339156,-50.854260296339156,-400.0,0.5579417240365038,0.5579417240365038,0.0,0,0.0
20260225_154659,sham_3,sham,9.333333333333332,-58.7873890956045,-58.7873890956045,-58.7873890956045,-400.0,-1.5426343614933526,-1.5426343614933526,0.0,0,0.0
20260225_154659,sham_3,sham,10.666666666666666,-50.06150942596078,-50.06150942596078,-50.06150942596078,-400.0,2.794559129455322,2.794559129455322,0.0,0,0.0
20260225_154659,sham_3,sham,12.0,-49.89358824834561,-49.89358824834561,-49.89358824834561,-400.0,-0.5602085466290122,-0.5602085466290122,0.0,0,0.0
20260225_154659,sham_3,sham,13.333333333333332,-56.952469757072265,-56.952469757072265,-56.952469757072265,-400.0,3.0529094506445507,3.0529094506445507,0.0,0,0.0
20260225_154659,sham_3,sham,14.666666666666666,-50.670292287330696,-50.670292287330696,-50.670292287330696,-400.0,0.8322473384695288,0.8322473384695288,0.0,0,0.0
20260225_154659,sham_3,sham,16.0,-53.249053682213415,-53.249053682213415,-53.249053682213415,-400.0,-2.1545950674503414,-2.1545950674503414,0.0,0,0.0
