run_id,participant,trialN,stimId,stimType,stimFile,targetEar,heardEar,correct,rt,confidence,conf_rt
20260225_154659,test,0,sham_2,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_sham_2_COMP.wav,L,N,1,1.67018569999982,5,1.0867886999999428
20260225_154659,test,1,stim_4,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_stim_4_COMP.wav,R,N,0,0.39041580000002796,5,0.08176309999998921
20260225_154659,test,2,stim_5,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_stim_5_COMP.wav,L,N,0,0.3265553999999611,5,0.05829330000005939
20260225_154659,test,3,stim_1,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_stim_1_COMP.wav,L,N,0,0.6654758999998194,5,0.11680159999968964
20260225_154659,test,4,sham_3,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_sham_3_COMP.wav,R,N,1,0.5625242000000981,5,0.27193430000033914
20260225_154659,test,5,sham_1,sham,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_sham_1_COMP.wav,L,N,1,0.3870781000000534,5,0.2422356000001855
20260225_154659,test,6,stim_3,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_stim_3_COMP.wav,L,N,0,0.3049955999999838,5,0.1934811000000991
20260225_154659,test,7,stim_2,stim,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_stim_2_COMP.wav,R,N,0,0.2676416000003883,5,0.2887698999998065
20260225_154659,test,mel_0,melody_2,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_melody_2_COMP.wav,,,,2.2852302999999665,5,0.3008202999999412
20260225_154659,test,mel_1,melody_1,melody,D:\Fork\ULETH-NEUR-3999-B\PsychoPy Projects\DichoticPitch_PsychoPy_Project_AllInOne\OUTPUT\RUN_20260225_154659\PHASED_Preparation\WAV_COMP\20260225_154659_melody_1_COMP.wav,,,,1.0477725000000646,5,0.6086374000001342
