run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_161437,melody_1,melody,0.0,-65.90753308600506,-65.91265699027092,-65.91009466030687,-136.51496082746294,0.0,0.0,0.0,0,0.0
20260225_161437,melody_1,melody,0.4166666666666667,-54.55539252080682,-54.55625613657606,-54.55582431799474,-140.61147778375744,-2.3620595655506276,-2.362065378923278,-5.8133726503761815e-06,0,0.0
20260225_161437,melody_1,melody,0.8333333333333334,-53.43488716970997,-53.434807558157516,-53.43484736488374,-149.27265717721895,0.5408151640317687,0.5407841966503909,-3.0967381377755565e-05,0,0.0
20260225_161437,melody_1,melody,1.25,-65.65323310593699,-65.65235485300704,-65.65279396838126,-151.57355334300945,2.559356303360681,2.559359269045549,2.965684867906049e-06,0,0.0
20260225_161437,melody_1,melody,1.6666666666666667,-55.587283671928354,-55.58743237591027,-55.587358025649685,-148.22351906076221,-2.84749985082276,-2.84745641309482,4.3437727939910076e-05,0,0.0
20260225_161437,melody_1,melody,2.0833333333333335,-55.67582907285225,-55.67543366859054,-55.67563136946332,-146.94550779606044,0.07798906092503465,0.07801928629632848,3.0225371293837733e-05,0,0.0
20260225_161437,melody_1,melody,2.5,-66.60378342480577,-66.60305327352336,-66.60341875943504,-136.6910931666904,2.5572474874659172,2.557867922350378,0.0006204348844609519,0,0.0
20260225_161437,melody_1,melody,2.916666666666667,-68.4698622115611,-68.4719867154158,-68.47092505038157,-136.29477224786197,-0.37141617079553824,-0.3706413327158877,0.0007748380796505638,0,0.0
20260225_161437,melody_1,melody,3.3333333333333335,-63.46238406616103,-63.46242517010519,-63.462404692441254,-141.1270429289909,-2.429620164220838,-2.429358510410523,0.00026165381031528767,0,0.0
20260225_161437,melody_1,melody,3.75,-66.40973878058644,-66.41083248892079,-66.41028564867192,-145.94437469474536,0.1359614944909928,0.13613083006389584,0.000169335572903051,0,0.0
