Frequency,Magnitude_dB,Phase_rad,FlippedBand,Channel,Compensated
0.0,31.226503,-3.1415927,False,left,True
1.0,30.534653,-0.98962826,False,left,True
2.0,28.03895,0.3446716,False,left,True
3.0,30.96758,-0.89636886,False,left,True
4.0,30.08436,2.950622,False,left,True
5.0,36.077137,2.9434166,False,left,True
6.0,18.124754,1.6543632,False,left,True
7.0,38.22378,0.5569526,False,left,True
8.0,27.119728,1.5331509,False,left,True
9.0,36.588684,-0.06518422,False,left,True
10.0,32.56121,-0.94070196,False,left,True
11.0,38.0438,0.73512733,False,left,True
12.0,21.400719,-0.8849972,False,left,True
13.0,33.569897,-0.9752566,False,left,True
14.0,27.419146,0.7535438,False,left,True
15.0,21.617727,-0.8722257,False,left,True
16.0,29.934732,1.922921,False,left,True
17.0,26.642895,1.7970185,False,left,True
18.0,26.842367,1.407119,False,left,True
19.0,15.986116,1.930154,False,left,True
20.0,30.38841,1.8835523,False,left,True
21.0,33.212086,0.39870894,False,left,True
22.0,30.481918,2.373115,False,left,True
23.0,32.480125,-2.0382624,False,left,True
24.0,26.834122,0.38660115,False,left,True
25.0,28.213709,1.5015064,False,left,True
26.0,24.70456,-0.09937499,False,left,True
27.0,38.149284,-0.7347437,False,left,True
28.0,19.74926,-2.2131846,False,left,True
29.0,23.951977,2.822083,False,left,True
30.0,37.401386,3.0446181,False,left,True
31.0,27.87107,2.272837,False,left,True
32.0,30.224836,2.5467021,False,left,True
33.0,31.45288,-1.8947699,False,left,True
34.0,30.851278,0.050911967,False,left,True
35.0,21.795372,-0.26246655,False,left,True
36.0,35.075882,1.3498915,False,left,True
37.0,35.650173,1.1556973,False,left,True
38.0,25.918798,1.8819995,False,left,True
39.0,29.104046,-1.572394,False,left,True
40.0,35.595383,2.4185467,False,left,True
41.0,35.568836,0.1087825,False,left,True
42.0,37.907024,-0.14362073,False,left,True
43.0,25.511776,-1.7428931,False,left,True
44.0,28.549273,2.405249,False,left,True
45.0,29.943417,-1.6156447,False,left,True
46.0,30.773067,-0.6179467,False,left,True
47.0,30.897064,2.9642446,False,left,True
48.0,25.009764,1.0596516,False,left,True
49.0,31.773634,3.014629,False,left,True
50.0,34.196133,2.011037,False,left,True
51.0,29.168169,1.563493,False,left,True
52.0,29.33504,-2.0994983,False,left,True
53.0,24.08216,2.2319264,False,left,True
54.0,23.699524,-0.6603854,False,left,True
55.0,26.473003,-1.1495148,False,left,True
56.0,31.975895,1.1661389,False,left,True
57.0,30.190115,-1.0771877,False,left,True
58.0,30.019901,-3.0026493,False,left,True
59.0,32.485485,-1.4285944,False,left,True
60.0,24.418411,-1.3705369,False,left,True
61.0,29.250591,2.4154325,False,left,True
62.0,32.19485,2.164624,False,left,True
63.0,29.96044,1.7570803,False,left,True
64.0,30.722591,-3.1008492,False,left,True
65.0,35.672585,-2.4143126,False,left,True
66.0,18.375542,-1.3732458,False,left,True
67.0,25.45535,-1.3887371,False,left,True
68.0,32.452526,-1.3293971,False,left,True
69.0,27.291632,-0.7827093,False,left,True
70.0,31.060795,1.0230016,False,left,True
71.0,32.21528,-1.4922441,False,left,True
72.0,25.28777,1.6685731,False,left,True
73.0,29.473766,-0.055330593,False,left,True
74.0,30.265673,0.69462395,False,left,True
75.0,34.34367,0.8077528,False,left,True
76.0,26.900795,0.36893046,False,left,True
77.0,35.258423,-0.06366793,False,left,True
78.0,26.617027,1.9902432,False,left,True
79.0,32.054504,2.655357,False,left,True
80.0,26.473831,1.1675309,False,left,True
81.0,32.58563,2.8877192,False,left,True
82.0,32.319435,1.8683059,False,left,True
