Frequency,Magnitude_dB,Phase_rad,FlippedBand,Channel,Compensated
0.0,23.857983,-0.0,False,right,True
1.0,20.302198,-1.5663588,False,right,True
2.0,32.412334,0.7193997,False,right,True
3.0,29.124393,0.17839223,False,right,True
4.0,30.647606,-0.11590534,False,right,True
5.0,33.74346,1.4842634,False,right,True
6.0,20.538692,0.52484095,False,right,True
7.0,27.724289,1.7228706,False,right,True
8.0,25.920586,-1.4687778,False,right,True
9.0,18.624552,-1.8050604,False,right,True
10.0,34.514187,-1.665191,False,right,True
11.0,31.668089,2.6976,False,right,True
12.0,20.316418,-1.3047454,False,right,True
13.0,23.82103,2.5871522,False,right,True
14.0,30.523148,-2.4958112,False,right,True
15.0,30.633162,0.48285502,False,right,True
16.0,29.170933,2.3451734,False,right,True
17.0,29.329958,-1.9042274,False,right,True
18.0,27.852436,1.7629725,False,right,True
19.0,33.50119,1.3695314,False,right,True
20.0,27.908459,0.4838986,False,right,True
21.0,31.909489,-2.011381,False,right,True
22.0,23.861843,-1.139214,False,right,True
23.0,25.74547,2.6755376,False,right,True
24.0,26.958927,-0.280326,False,right,True
25.0,33.684948,-1.8953503,False,right,True
26.0,25.797586,-2.3819907,False,right,True
27.0,25.857851,-0.82278335,False,right,True
28.0,29.520262,-2.9865882,False,right,True
29.0,30.266865,-2.5956452,False,right,True
30.0,19.45983,-1.5465937,False,right,True
31.0,10.529145,2.205689,False,right,True
32.0,30.59104,-0.93371814,False,right,True
33.0,31.181887,1.2471619,False,right,True
34.0,35.066643,1.8106732,False,right,True
35.0,31.333761,2.0080085,False,right,True
36.0,33.95496,-2.4399786,False,right,True
37.0,25.689255,-1.7208291,False,right,True
38.0,29.113613,1.3322914,False,right,True
39.0,28.898891,-1.7503047,False,right,True
40.0,31.707535,-0.50601715,False,right,True
41.0,33.004124,-1.348952,False,right,True
42.0,32.714745,0.76968163,False,right,True
43.0,30.270462,0.7499798,False,right,True
44.0,33.626163,2.4708164,False,right,True
45.0,19.43782,-1.8987926,False,right,True
46.0,34.16963,-1.8302926,False,right,True
47.0,31.72354,1.9557152,False,right,True
48.0,32.029385,0.78515494,False,right,True
49.0,33.890606,-2.9786565,False,right,True
50.0,22.135122,2.9358106,False,right,True
51.0,28.610622,1.9593811,False,right,True
52.0,26.894053,-2.4198577,False,right,True
53.0,31.37503,-1.7631693,False,right,True
54.0,34.072906,1.7667117,False,right,True
55.0,18.489988,2.5397222,False,right,True
56.0,25.039385,-1.0281839,False,right,True
57.0,31.872541,-0.7486031,False,right,True
58.0,22.66064,2.9193935,False,right,True
59.0,27.00515,-1.3417821,False,right,True
60.0,25.66514,-0.69316286,False,right,True
61.0,32.3304,1.679562,False,right,True
62.0,31.42229,-1.0479422,False,right,True
63.0,26.046125,2.9981945,False,right,True
64.0,19.787043,-1.8249024,False,right,True
65.0,11.637511,0.37990692,False,right,True
66.0,31.368256,0.42347503,False,right,True
67.0,27.13968,2.3075159,False,right,True
68.0,30.391682,-1.3958133,False,right,True
69.0,22.179928,-2.396742,False,right,True
70.0,38.428833,2.409845,False,right,True
71.0,32.378555,2.6677144,False,right,True
72.0,17.435354,1.0985037,False,right,True
73.0,28.919697,2.8484347,False,right,True
74.0,30.42842,-1.5685345,False,right,True
75.0,27.950092,2.6586072,False,right,True
76.0,30.71294,2.1879058,False,right,True
77.0,24.246351,2.8285477,False,right,True
78.0,16.062757,3.0477383,False,right,True
79.0,11.132122,0.7672617,False,right,True
80.0,31.172373,0.47025838,False,right,True
81.0,28.980343,-0.8036805,False,right,True
82.0,30.013203,2.8871446,False,right,True
83.0,25.274542,-0.11115937,False,right,True
84.0,23.645996,-2.058419,False,right,True
85.0,29.285982,1.2837915,False,right,True
86.0,9.7405615,2.7393432,False,right,True
87.0,12.886875,-2.0025816,False,right,True
88.0,34.684765,-1.5156131,False,right,True
89.0,29.844624,0.9170219,False,right,True
90.0,28.598606,1.1640712,False,right,True
91.0,29.604645,-1.1423072,False,right,True
92.0,24.48592,1.4801435,False,right,True
93.0,26.403063,-1.3796015,False,right,True
94.0,19.278458,1.2456555,False,right,True
95.0,23.796658,0.20350425,False,right,True
96.0,29.104248,-1.3204046,False,right,True
97.0,27.296236,2.727495,False,right,True
98.0,29.636654,-0.7548252,False,right,True
99.0,34.460316,1.9459273,False,right,True
100.0,29.059334,2.7210712,False,right,True
101.0,29.386482,-0.93921703,False,right,True
102.0,27.767284,-2.981324,False,right,True
103.0,25.38876,1.3588675,False,right,True
104.0,14.751799,-2.7231135,False,right,True
105.0,29.55143,0.4110128,False,right,True
106.0,24.638657,1.7254127,False,right,True
107.0,23.13585,0.789384,False,right,True
108.0,28.425209,-0.16499014,False,right,True
109.0,13.853651,1.6728675,False,right,True
110.0,34.01247,-1.5377026,False,right,True
111.0,26.377247,-1.3737385,False,right,True
112.0,25.861782,-2.9537852,False,right,True
113.0,28.793018,-2.5208337,False,right,True
114.0,32.693302,1.6047609,False,right,True
115.0,27.594168,1.0325202,False,right,True
116.0,31.984035,-0.8147331,False,right,True
117.0,27.022322,-3.0158653,False,right,True
118.0,25.785303,2.873236,False,right,True
119.0,28.33485,1.1678998,False,right,True
120.0,27.92678,1.6050984,False,right,True
121.0,31.435726,1.2793275,False,right,True
122.0,22.377258,-2.868328,False,right,True
123.0,30.226902,-0.29878885,False,right,True
124.0,29.43921,1.1879833,False,right,True
125.0,27.6549,-0.32580936,False,right,True
126.0,33.27012,2.460715,False,right,True
127.0,29.733494,0.42551345,False,right,True
128.0,33.28033,-2.2326896,False,right,True
129.0,30.899895,-2.559139,False,right,True
130.0,31.388971,-0.24498655,False,right,True
131.0,23.477972,-3.0190508,False,right,True
132.0,35.995132,-1.2096143,False,right,True
133.0,32.334873,-0.9486978,False,right,True
134.0,33.777214,-0.44204384,False,right,True
135.0,17.690464,1.7121938,False,right,True
136.0,19.494755,0.46825907,False,right,True
137.0,12.8398285,-1.9771533,False,right,True
138.0,27.920425,2.6305842,False,right,True
139.0,30.890276,-2.5590172,False,right,True
140.0,28.896233,2.6720552,False,right,True
141.0,26.456692,1.255632,False,right,True
142.0,23.260506,-0.43530372,False,right,True
143.0,31.76413,0.18899058,False,right,True
144.0,28.592756,0.2068877,False,right,True
145.0,34.20305,0.94686437,False,right,True
146.0,28.788425,2.2460396,False,right,True
147.0,31.144047,-3.0950718,False,right,True
148.0,30.875359,-2.1518316,False,right,True
149.0,30.705006,-1.8295804,False,right,True
150.0,25.976353,-1.8276544,False,right,True
151.0,32.57891,-0.771223,False,right,True
152.0,13.10782,-0.9620579,False,right,True
153.0,26.588917,-0.16148524,False,right,True
154.0,23.61965,1.632196,False,right,True
155.0,28.945799,2.7999437,False,right,True
156.0,28.52549,-3.088056,False,right,True
157.0,22.655907,2.319801,False,right,True
158.0,18.816257,2.5070968,False,right,True
159.0,30.71688,1.2180765,False,right,True
